#A:	K:	U:	Tot:	Pc:
0	1.9413	0.32169	2.263	0.28188
0.25	1.9365	0.32641	2.2629	0.29021
0.5	1.9336	0.32813	2.2617	0.2922
0.75	1.9323	0.32766	2.26	0.29075
1	1.9329	0.32509	2.258	0.28762
1.25	1.9345	0.32142	2.2559	0.28391
1.5	1.9365	0.3173	2.2538	0.28001
1.75	1.9387	0.31303	2.2517	0.27609
2	1.9409	0.30873	2.2496	0.27221
2.25	1.9431	0.30448	2.2475	0.2684
2.5	1.9452	0.3003	2.2455	0.26468
2.75	1.9473	0.29621	2.2435	0.26104
3	1.9494	0.29221	2.2416	0.25749
3.5	1.9514	0.28829	2.2397	0.25403
4	1.9534	0.28446	2.2379	0.25065
