#A:	K:	U:	Tot:	Pc:
0	1.9554	0.26432	2.2198	0.25394
0.25	1.9525	0.26687	2.2194	0.25956
0.5	1.9507	0.26778	2.2185	0.26095
0.75	1.9501	0.26736	2.2174	0.25993
1	1.9506	0.26569	2.2163	0.25783
1.25	1.9518	0.26341	2.2152	0.25539
1.5	1.9531	0.26091	2.214	0.25286
1.75	1.9545	0.25835	2.2129	0.25034
2	1.956	0.2558	2.2118	0.24784
2.25	1.9574	0.25328	2.2107	0.24538
2.5	1.9588	0.25079	2.2096	0.24296
2.75	1.9602	0.24835	2.2085	0.24059
3	1.9615	0.24594	2.2075	0.23825
3.5	1.9629	0.24358	2.2064	0.23597
4	1.9642	0.24127	2.2054	0.23372
