#A:	K:	U:	Tot:	Pc:
0	1.9222	0.42136	2.3435	0.33777
0.25	1.9121	0.43378	2.3459	0.35422
0.5	1.9058	0.43875	2.3445	0.35808
0.75	1.9033	0.43804	2.3413	0.3551
1	1.9042	0.43296	2.3371	0.34899
1.25	1.907	0.42547	2.3325	0.34165
1.5	1.9107	0.41688	2.3276	0.33389
1.75	1.9148	0.40787	2.3226	0.32608
2	1.919	0.39878	2.3177	0.31841
2.25	1.9231	0.38981	2.3129	0.31095
2.5	1.9272	0.38104	2.3082	0.30374
2.75	1.9311	0.37255	2.3037	0.29679
3	1.9349	0.36433	2.2993	0.29011
3.5	1.9386	0.35635	2.295	0.28367
4	1.9422	0.34864	2.2908	0.27746
