#A:	K:	U:	Tot:	Pc:
0	1.9331	0.36257	2.2956	0.30369
0.25	1.9264	0.36977	2.2962	0.31479
0.5	1.9223	0.37254	2.2948	0.31744
0.75	1.9206	0.37193	2.2925	0.31548
1	1.9213	0.3685	2.2898	0.31136
1.25	1.9233	0.36352	2.2868	0.3064
1.5	1.9259	0.35783	2.2837	0.30118
1.75	1.9287	0.35189	2.2806	0.29591
2	1.9316	0.34592	2.2775	0.2907
2.25	1.9345	0.34	2.2745	0.2856
2.5	1.9374	0.3342	2.2716	0.28064
2.75	1.9401	0.32854	2.2687	0.27581
3	1.9428	0.32302	2.2659	0.27113
3.5	1.9455	0.31764	2.2631	0.26658
4	1.948	0.31241	2.2605	0.26217
