#A:	K:	U:	Tot:	Pc:
0	1.9022	0.52232	2.4245	0.4064
0.25	1.8835	0.54956	2.4331	0.4367
0.5	1.8726	0.5598	2.4324	0.44241
0.75	1.8687	0.55827	2.427	0.43573
1	1.8709	0.54833	2.4192	0.42361
1.25	1.8763	0.53397	2.4103	0.40952
1.5	1.8832	0.51772	2.4009	0.39497
1.75	1.8905	0.50094	2.3915	0.38068
2	1.8979	0.48427	2.3822	0.36692
2.25	1.9051	0.46812	2.3732	0.35384
2.5	1.912	0.45262	2.3646	0.34146
2.75	1.9185	0.43785	2.3563	0.32979
3	1.9246	0.42381	2.3484	0.3188
3.5	1.9305	0.41034	2.3408	0.30836
4	1.936	0.39749	2.3335	0.29848
