# Created on: Tue Feb 27 01:40:47 2018
# T	K	U	Etot	Pc	Pk	Ptot
0.17419	0.261285	2.35106	2.61234	3.60387	0.139352	3.74322
0.498277	0.747416	2.35198	3.0994	3.60524	0.398622	4.00386
0.495387	0.74308	2.35674	3.09982	3.61218	0.396309	4.00849
0.492531	0.738796	2.36579	3.10459	3.62539	0.394025	4.01941
0.489717	0.734575	2.37908	3.11365	3.64476	0.391773	4.03653
0.486959	0.730439	2.39652	3.12696	3.67016	0.389567	4.05973
0.484286	0.726429	2.418	3.14443	3.70142	0.387429	4.08885
0.481741	0.722612	2.44335	3.16596	3.73827	0.385393	4.12366
0.479392	0.719087	2.47232	3.19141	3.78034	0.383513	4.16386
0.477328	0.715992	2.50455	3.22054	3.82709	0.381862	4.20895
0.475669	0.713504	2.53953	3.25304	3.87774	0.380535	4.25828
0.474559	0.711839	2.57655	3.28839	3.93129	0.379648	4.31093
0.474156	0.711233	2.6147	3.32593	3.98639	0.379324	4.36571
0.474605	0.711907	2.65281	3.36472	4.04141	0.379684	4.4211
0.47601	0.714015	2.68956	3.40358	4.09446	0.380808	4.47526
0.478392	0.717588	2.72352	3.4411	4.1435	0.382714	4.52621
0.481657	0.722485	2.75329	3.47578	4.18659	0.385325	4.57191
