# Created on: Tue Feb 27 01:40:47 2018
# X	Y	Z	Vx	Vy	Vz
1.04373	1.59543	1.45443	1.01192	2.11714	1.83468
10.4807	0.576952	1.61374	-1.66298	0.0768268	-0.00418547
0.954658	0.605085	1.98777	0.833479	0.133181	-1.41288
0.921653	10.6414	3.49403	0.767355	-1.34103	-0.553379
0.738106	0.195158	4.63572	0.399662	-0.688032	-0.424237
0.470272	0.248183	5.55414	-0.136892	-0.58181	-0.742344
10.5418	1.5245	6.54245	-1.54045	1.97505	-0.920457
1.70841	0.0349311	7.18489	2.3435	-1.00903	-1.79144
0.441099	0.773073	9.19859	-0.195337	0.469705	0.0846366
10.6881	0.789457	0.382039	-1.24733	0.502536	1.84436
0.733161	1.05725	0.132042	0.389756	-1.11899	-0.814471
0.073326	1.76044	2.11069	-0.932112	0.28971	0.991373
1.55464	1.50164	3.10321	2.03542	-0.22875	0.821696
0.461054	1.40501	4.09759	-0.155369	-0.422331	0.655743
0.79952	1.03745	5.62537	0.522696	-1.15866	1.55835
0.720993	1.67305	5.32646	0.365383	0.114644	-1.19846
0.569339	1.62988	6.38789	0.0615737	0.0281497	-1.23008
0.410047	0.813402	7.16163	-0.257537	-1.60751	-1.83804
0.0113115	1.17358	8.86181	-1.05633	-0.885958	-0.590035
10.7527	2.25003	9.22758	-1.11791	1.2705	-2.01529
10.5372	3.36743	10.0243	-1.54982	1.35101	-2.57722
0.691256	2.3856	1.57101	0.305795	-0.615922	-0.0897764
1.22135	3.39331	2.59913	1.36774	1.40285	-0.188123
0.999657	3.09005	3.56731	0.92362	0.795322	-0.40658
0.278352	2.33259	4.60885	-0.52137	-0.722102	-0.478068
0.120351	2.50851	5.94252	-0.837885	-0.369677	0.0356952
10.4659	2.57066	6.98257	-1.69248	-0.245163	-0.0387429
0.36547	1.68437	8.83879	-0.346846	-2.0207	1.52184
0.754686	2.80163	8.47691	0.432879	0.217541	-1.36112
0.477003	2.90548	9.83826	-0.123405	0.425569	-0.791899
0.514977	3.78239	0.0287657	-0.0473367	0.0243002	-1.02137
0.861537	3.90215	1.07222	0.646926	0.264203	-1.089
0.788476	3.40315	2.76581	0.500559	-0.735433	0.145776
0.790037	3.50366	4.85283	0.503691	-0.534076	2.16872
0.409063	4.02201	5.00041	-0.259516	0.504345	0.306362
10.6195	3.42889	6.03774	-1.38481	-0.683868	0.226439
0.439743	4.0221	7.31332	-0.198057	0.504523	0.623841
0.690599	4.17847	8.3666	0.304488	0.817764	0.575893
0.740184	3.64373	9.27149	0.403826	-0.253482	0.230677
0.193237	4.55053	10.533	-0.691883	1.56312	0.599888
0.483436	4.73809	0.153115	-0.110523	-0.219137	-0.772255
0.607117	5.56888	0.937801	0.137252	1.44519	-1.35829
0.534374	3.87305	1.97307	-0.00848158	-1.95208	-1.44232
0.938005	5.23935	2.9544	0.800118	0.785027	-1.63442
0.664151	4.06546	4.53933	0.251501	-1.56663	-0.61733
0.882558	5.98134	5.94834	0.68904	2.27148	0.0473631
0.783946	5.67423	7.48948	0.491492	1.65623	0.976761
0.59373	4.41246	8.25849	0.110429	-0.871465	0.359301
0.488491	4.7352	9.49324	-0.1004	-0.224918	0.674912
0.846961	4.81741	10.0506	0.617728	-0.0602313	-0.366497
0.264757	5.67395	0.335696	-0.548601	-0.502331	-0.406494
0.602289	6.06322	2.10834	0.127579	0.277487	0.986663
0.442746	5.82201	2.43943	-0.192036	-0.205723	-0.508062
0.699528	5.55863	2.56334	0.322376	-0.733349	-2.41783
0.945115	5.38795	4.81414	0.814362	-1.07528	-0.0667919
1.31523	5.51607	6.17537	1.55581	-0.818611	0.502179
0.326205	6.46088	7.32978	-0.425516	1.07415	0.656816
1.04675	5.30602	8.27567	1.01796	-1.2394	0.393724
0.369583	5.65525	8.82611	-0.338612	-0.539776	-0.661569
10.6531	5.00089	10.027	-1.31754	-1.85066	-0.413726
0.414897	7.65688	0.227531	-0.247817	1.3121	-0.623191
10.3579	8.6936	1.23067	-1.90889	3.38899	-0.771586
0.45822	7.02	2.65809	-0.161037	0.0362191	-0.0700143
0.704239	6.0424	4.21478	0.331814	-1.92222	0.890511
0.481963	7.93406	5.04594	-0.113484	1.86737	0.397577
0.733853	6.79581	4.95686	0.391131	-0.412905	-1.93889
0.195297	7.91604	7.94044	-0.687767	1.83128	1.88015
0.84752	7.55654	8.6822	0.618844	1.11109	1.20814
0.727471	6.64677	8.93967	0.378351	-0.711463	-0.434073
10.2867	7.16918	10.2202	-2.05154	0.335094	-0.0268115
0.592348	7.32626	0.330584	0.107672	-1.50824	-0.416746
0.166087	7.95884	1.98575	-0.746266	-0.240983	0.741066
0.703444	7.49926	2.50303	0.330229	-1.16166	-0.380656
10.6177	7.23381	2.88463	-1.38854	-1.69346	-1.77418
0.78221	8.39713	4.28569	0.488009	0.637042	-1.12543
0.90915	8.66466	5.56159	0.742308	1.173	-0.727418
0.846017	7.14054	6.68395	0.61583	-1.88029	-0.636984
0.410977	8.01767	8.19213	-0.25569	-0.12313	0.226366
0.0350247	7.87847	9.33258	-1.00883	-0.401983	0.353054
1.44239	8.57686	10.1421	1.81056	0.997106	-0.183177
0.842778	9.34194	0.953697	0.609361	0.371802	0.831549
0.380175	9.37998	2.00083	-0.317383	0.448028	0.771291
1.1177	9.28055	2.97437	1.1601	0.248828	0.563584
0.32598	9.00327	4.60798	-0.425964	-0.306655	1.67821
0.197915	8.81877	4.5363	-0.682515	-0.676273	-0.623379
0.625315	8.39697	5.59124	0.173694	-1.52127	-0.66801
