# Created on: Tue Feb 27 01:40:47 2018
# T	K	U	Etot	Pc	Pk	Ptot
0.17419	0.261285	0.383572	0.644857	0.368232	0.139352	0.507584
0.499969	0.749954	0.383723	1.13368	0.368442	0.399975	0.768417
0.49992	0.74988	0.383806	1.13369	0.36845	0.399936	0.768386
0.49987	0.749806	0.383963	1.13377	0.368463	0.399896	0.768359
0.499822	0.749732	0.384195	1.13393	0.368482	0.399857	0.76834
0.499773	0.749659	0.384507	1.13417	0.368517	0.399818	0.768335
0.499725	0.749587	0.384897	1.13448	0.368565	0.39978	0.768345
0.499677	0.749516	0.385365	1.13488	0.368628	0.399742	0.76837
0.49963	0.749445	0.385908	1.13535	0.368701	0.399704	0.768405
0.499584	0.749376	0.386521	1.1359	0.36878	0.399667	0.768448
0.499539	0.749309	0.387201	1.13651	0.368861	0.399631	0.768493
0.499495	0.749243	0.387949	1.13719	0.368947	0.399596	0.768543
0.499452	0.749179	0.38876	1.13794	0.369033	0.399562	0.768595
0.499411	0.749116	0.389634	1.13875	0.36912	0.399529	0.768649
