# Created on: Tue Feb 27 01:40:47 2018
# T	K	U	Etot	Pc	Pk	Ptot
0.17419	0.261285	0.0340711	0.295356	0.0166306	0.0870949	0.103726
0.499999	0.749999	0.034095	0.784094	0.0166512	0.25	0.266651
0.499999	0.749999	0.0340959	0.784095	0.0166513	0.25	0.266651
0.499999	0.749998	0.0340973	0.784096	0.0166511	0.249999	0.266651
0.499999	0.749998	0.0340991	0.784097	0.0166507	0.249999	0.26665
0.499998	0.749997	0.0341022	0.7841	0.0166507	0.249999	0.26665
0.499998	0.749997	0.0341076	0.784104	0.0166522	0.249999	0.266651
0.499998	0.749996	0.0341142	0.784111	0.0166541	0.249999	0.266653
0.499997	0.749996	0.0341232	0.784119	0.0166573	0.249999	0.266656
0.499997	0.749995	0.0341336	0.784129	0.0166612	0.249998	0.26666
0.499996	0.749995	0.0341446	0.784139	0.016665	0.249998	0.266663
0.499996	0.749994	0.0341566	0.784151	0.0166691	0.249998	0.266667
0.499996	0.749993	0.0341686	0.784162	0.0166726	0.249998	0.26667
0.499995	0.749993	0.0341807	0.784174	0.0166757	0.249998	0.266673
0.499995	0.749992	0.0341938	0.784186	0.016679	0.249997	0.266677
0.499995	0.749992	0.034207	0.784199	0.0166819	0.249997	0.266679
0.499994	0.749992	0.0342199	0.784211	0.016684	0.249997	0.266681
0.499994	0.749991	0.0342333	0.784224	0.016686	0.249997	0.266683
