# Created on: Tue Feb 27 01:40:47 2018
# T	K	U	Etot	Pc	Pk	Ptot
0.17419	0.261285	0.00123819	0.262523	0.000355165	0.0870949	0.0874501
0.5	0.75	0.0012429	0.751243	0.000357533	0.25	0.250358
0.5	0.75	0.00124293	0.751243	0.000357539	0.25	0.250358
0.5	0.75	0.00124294	0.751243	0.000357539	0.25	0.250358
0.5	0.75	0.00124294	0.751243	0.000357537	0.25	0.250358
0.5	0.75	0.0012431	0.751243	0.000357613	0.25	0.250358
0.5	0.75	0.00124361	0.751244	0.00035787	0.25	0.250358
0.5	0.75	0.00124425	0.751244	0.000358191	0.25	0.250358
0.5	0.75	0.00124525	0.751245	0.00035869	0.25	0.250359
0.5	0.75	0.00124641	0.751246	0.000359271	0.25	0.250359
0.5	0.75	0.00124759	0.751248	0.00035986	0.25	0.25036
0.5	0.75	0.00124887	0.751249	0.000360498	0.25	0.25036
0.5	0.75	0.00125003	0.75125	0.00036108	0.25	0.250361
0.5	0.75	0.00125113	0.751251	0.000361623	0.25	0.250362
0.5	0.75	0.00125231	0.751252	0.000362215	0.25	0.250362
