# Created on: Tue Feb 27 01:40:19 2018
# T	K	U	Etot	Pc	Pk	Ptot
0.17419	0.261285	0.628695	0.88998	0.667209	0.139352	0.806561
0.499952	0.749928	0.628862	1.37879	0.667442	0.399962	1.0674
0.499873	0.749809	0.628993	1.3788	0.66749	0.399898	1.06739
0.499793	0.74969	0.629243	1.37893	0.66758	0.399835	1.06741
0.499715	0.749572	0.629612	1.37918	0.667711	0.399772	1.06748
0.499636	0.749454	0.630099	1.37955	0.667885	0.399709	1.06759
0.499558	0.749337	0.630705	1.38004	0.668103	0.399647	1.06775
0.499481	0.749221	0.631433	1.38065	0.668368	0.399585	1.06795
0.499403	0.749105	0.632279	1.38138	0.668678	0.399523	1.0682
0.499327	0.74899	0.633243	1.38223	0.66903	0.399462	1.06849
0.499251	0.748877	0.634325	1.3832	0.669425	0.399401	1.06883
0.499176	0.748764	0.635523	1.38429	0.669861	0.399341	1.0692
0.499102	0.748652	0.636832	1.38548	0.670333	0.399281	1.06961
0.499028	0.748542	0.638253	1.38679	0.67084	0.399222	1.07006
0.498956	0.748433	0.639781	1.38821	0.671378	0.399165	1.07054
0.498884	0.748326	0.641418	1.38974	0.671949	0.399107	1.07106
0.498814	0.748221	0.643159	1.39138	0.672546	0.399051	1.0716
0.498745	0.748118	0.645007	1.39312	0.673176	0.398996	1.07217
0.498677	0.748016	0.646955	1.39497	0.673829	0.398942	1.07277
0.498611	0.747917	0.649002	1.39692	0.674505	0.398889	1.07339
0.498546	0.74782	0.651146	1.39897	0.675203	0.398837	1.07404
0.498483	0.747725	0.653386	1.40111	0.675922	0.398787	1.07471
0.498422	0.747633	0.655717	1.40335	0.676659	0.398738	1.0754
0.498363	0.747544	0.65814	1.40568	0.677414	0.39869	1.0761
0.498305	0.747458	0.660649	1.40811	0.678184	0.398644	1.07683
0.49825	0.747374	0.663242	1.41062	0.678967	0.3986	1.07757
0.498196	0.747295	0.665916	1.41321	0.679761	0.398557	1.07832
0.498145	0.747218	0.668668	1.41589	0.680566	0.398516	1.07908
0.498097	0.747145	0.671492	1.41864	0.681375	0.398478	1.07985
0.498051	0.747076	0.674387	1.42146	0.682192	0.398441	1.08063
0.498008	0.747011	0.67735	1.42436	0.683015	0.398406	1.08142
0.497967	0.74695	0.680375	1.42733	0.683841	0.398374	1.08221
0.497929	0.746894	0.683458	1.43035	0.684667	0.398343	1.08301
0.497894	0.746842	0.686596	1.43344	0.685494	0.398316	1.08381
0.497863	0.746794	0.689783	1.43658	0.686318	0.39829	1.08461
0.497834	0.746751	0.693014	1.43976	0.687137	0.398267	1.0854
0.497809	0.746713	0.696284	1.443	0.687951	0.398247	1.0862
0.497786	0.74668	0.699591	1.44627	0.68876	0.398229	1.08699
0.497768	0.746651	0.702927	1.44958	0.689559	0.398214	1.08777
0.497752	0.746628	0.706288	1.45292	0.690349	0.398202	1.08855
0.49774	0.74661	0.709669	1.45628	0.69113	0.398192	1.08932
0.497731	0.746597	0.713068	1.45966	0.691904	0.398185	1.09009
0.497726	0.746589	0.716475	1.46306	0.692663	0.398181	1.09084
0.497725	0.746587	0.719888	1.46647	0.693412	0.39818	1.09159
0.497726	0.746589	0.7233	1.46989	0.694149	0.398181	1.09233
0.497732	0.746597	0.726709	1.47331	0.694873	0.398185	1.09306
0.49774	0.74661	0.730107	1.47672	0.695584	0.398192	1.09378
0.497752	0.746628	0.733487	1.48012	0.696278	0.398202	1.09448
0.497767	0.746651	0.736846	1.4835	0.696955	0.398214	1.09517
0.497786	0.746678	0.740181	1.48686	0.697621	0.398228	1.09585
0.497807	0.746711	0.743486	1.4902	0.698271	0.398246	1.09652
0.497832	0.746748	0.746756	1.4935	0.698907	0.398265	1.09717
0.497859	0.746789	0.749987	1.49678	0.699528	0.398287	1.09782
0.49789	0.746835	0.753172	1.50001	0.700132	0.398312	1.09844
0.497923	0.746884	0.756312	1.5032	0.700726	0.398338	1.09906
0.497959	0.746938	0.759401	1.50634	0.701307	0.398367	1.09967
0.497997	0.746995	0.762431	1.50943	0.70187	0.398397	1.10027
0.498037	0.747056	0.765405	1.51246	0.702423	0.39843	1.10085
0.49808	0.74712	0.768315	1.51544	0.702964	0.398464	1.10143
0.498125	0.747187	0.771159	1.51835	0.703491	0.3985	1.10199
0.498171	0.747257	0.773935	1.52119	0.70401	0.398537	1.10255
0.49822	0.74733	0.776639	1.52397	0.704516	0.398576	1.10309
0.49827	0.747405	0.779272	1.52668	0.705017	0.398616	1.10363
0.498321	0.747481	0.781829	1.52931	0.705511	0.398657	1.10417
0.498374	0.74756	0.784306	1.53187	0.705993	0.398699	1.10469
0.498427	0.747641	0.786704	1.53434	0.706468	0.398742	1.10521
0.498481	0.747722	0.789021	1.53674	0.706938	0.398785	1.10572
0.498537	0.747805	0.791258	1.53906	0.707405	0.398829	1.10623
0.498592	0.747888	0.793411	1.5413	0.707864	0.398874	1.10674
0.498648	0.747972	0.79548	1.54345	0.708319	0.398918	1.10724
0.498704	0.748056	0.797464	1.54552	0.708768	0.398963	1.10773
0.49876	0.74814	0.799366	1.54751	0.709214	0.399008	1.10822
0.498816	0.748224	0.801183	1.54941	0.709656	0.399053	1.10871
0.498872	0.748307	0.802917	1.55122	0.710093	0.399097	1.10919
0.498927	0.74839	0.804567	1.55296	0.710524	0.399141	1.10967
0.498981	0.748472	0.806135	1.55461	0.71095	0.399185	1.11014
0.499035	0.748552	0.807623	1.55618	0.711373	0.399228	1.1106
0.499087	0.748631	0.80903	1.55766	0.711787	0.39927	1.11106
0.499139	0.748709	0.810356	1.55906	0.71219	0.399311	1.1115
0.49919	0.748785	0.811609	1.56039	0.712593	0.399352	1.11194
0.499239	0.748859	0.812787	1.56165	0.712988	0.399391	1.11238
0.499287	0.748931	0.813892	1.56282	0.713373	0.39943	1.1128
0.499334	0.749001	0.814924	1.56393	0.713748	0.399467	1.11322
0.49938	0.74907	0.815888	1.56496	0.714113	0.399504	1.11362
0.499424	0.749136	0.816786	1.56592	0.71447	0.399539	1.11401
0.499467	0.749201	0.817616	1.56682	0.714811	0.399574	1.11438
0.499509	0.749263	0.818382	1.56765	0.71514	0.399607	1.11475
0.499549	0.749323	0.81909	1.56841	0.71546	0.399639	1.1151
0.499588	0.749381	0.819736	1.56912	0.715762	0.39967	1.11543
0.499625	0.749438	0.820326	1.56976	0.716054	0.3997	1.11575
0.499661	0.749492	0.820862	1.57035	0.716332	0.399729	1.11606
0.499696	0.749544	0.821343	1.57089	0.716595	0.399757	1.11635
0.49973	0.749595	0.821773	1.57137	0.716843	0.399784	1.11663
0.499762	0.749643	0.822152	1.5718	0.717076	0.39981	1.11689
0.499793	0.74969	0.822486	1.57218	0.717298	0.399835	1.11713
0.499823	0.749735	0.822773	1.57251	0.717506	0.399859	1.11736
0.499852	0.749778	0.823016	1.57279	0.717698	0.399882	1.11758
0.49988	0.74982	0.823218	1.57304	0.717882	0.399904	1.11779
0.499906	0.749859	0.823378	1.57324	0.718048	0.399925	1.11797
0.499932	0.749898	0.823498	1.5734	0.718202	0.399945	1.11815
