# Created on: Tue Feb 27 01:40:47 2018
# X	Y	Z	Vx	Vy	Vz
1.00664	0.582804	0.896599	-0.279333	-0.874319	-0.746906
10.4408	0.756857	1.61221	-1.57567	0.307482	1.48602
0.771126	0.727617	2.14702	-0.0358301	0.235184	-1.17235
0.43286	0.58932	3.14023	0.283477	-0.338289	-0.148443
0.397585	0.0826884	4.40711	0.346824	-1.06651	-0.59339
0.494732	0.299159	5.61558	0.487298	0.786615	-0.0153811
0.465324	1.09645	6.45559	1.36929	1.12183	-1.03721
1.11805	10.384	7.70076	0.00203641	-1.4	1.05439
0.141235	0.808562	9.36484	-0.197304	1.01632	1.0315
10.6803	1.00152	0.867984	0.227012	1.38577	0.387942
0.487605	1.9434	10.7425	-0.0812617	-0.743648	0.152327
0.313667	1.63227	1.92245	-0.288053	-0.307738	-0.411
0.432113	1.83203	3.12101	-0.248881	0.281326	-0.266467
0.48774	1.47745	4.151	0.298492	-0.810449	-0.302709
1.18818	0.863856	5.14571	0.988061	-1.1735	0.941188
0.0999792	1.40909	5.44547	-0.553882	-0.342662	-1.0342
0.491908	2.13073	6.77694	0.547036	0.152542	0.211227
0.546815	0.527945	7.55143	1.00081	-1.10306	-0.691227
0.646726	1.07167	8.60584	-0.747484	-0.508362	-0.207645
0.601089	2.00686	9.73179	1.28219	-0.415566	-0.483399
10.5787	2.78364	10.7303	-0.944995	0.0664998	0.223679
0.809776	2.57332	1.00201	0.147641	-0.327505	-0.635611
0.663904	2.49894	2.20529	0.0241324	0.309924	-0.782336
0.983008	2.60845	3.72524	0.772771	-0.531745	0.460585
0.433922	2.44614	4.75072	-0.451246	0.438902	0.569964
1.05096	2.49365	5.75023	1.49141	-1.19069	-0.329635
0.249367	3.12316	7.1914	-0.21245	0.0980213	0.665423
0.305025	1.48476	7.77025	0.831421	-2.20791	-1.17676
0.759902	2.59591	8.95792	-1.0035	-0.910764	0.807663
0.20953	2.90585	9.57829	-0.836019	-0.666966	-0.466565
0.612021	3.57535	0.253338	-0.389818	0.584484	-0.25797
0.180185	3.71912	1.36728	-0.20126	-0.0713643	0.110448
0.863294	3.50336	3.17	1.10915	-1.15325	0.221654
0.835203	3.44453	4.25014	1.64144	-1.90193	0.549456
0.547082	3.39975	5.24814	0.400393	0.00922362	-0.511193
0.198842	3.69409	6.52727	-0.489206	-0.320941	0.314851
0.713156	3.98613	7.57609	0.814944	1.271	1.73599
0.802103	3.19253	8.1172	0.564728	-1.59449	0.0376553
0.874488	3.71185	9.26248	0.693394	-0.985615	-0.0176436
10.6841	3.71317	10.2081	-0.491903	-0.231083	0.336101
0.174523	5.13125	0.177373	-0.0523418	1.31738	-0.4138
