# Created on: Tue Feb 27 01:40:47 2018
# T	K	U	Etot	Pc	Pk	Ptot
0.696759	1.04514	0.950305	1.99544	0.920667	0.34838	1.26905
0.999626	1.49944	0.950576	2.45001	0.920923	0.499813	1.42074
0.999178	1.49877	0.951473	2.45024	0.921761	0.499589	1.42135
0.998731	1.4981	0.953041	2.45114	0.923226	0.499365	1.42259
0.998281	1.49742	0.955281	2.4527	0.92532	0.49914	1.42446
0.997828	1.49674	0.958198	2.45494	0.928045	0.498914	1.42696
0.997371	1.49606	0.961797	2.45785	0.931407	0.498685	1.43009
0.996908	1.49536	0.966086	2.46145	0.935411	0.498454	1.43387
0.996439	1.49466	0.971075	2.46573	0.940068	0.498219	1.43829
0.995962	1.49394	0.976773	2.47072	0.945383	0.497981	1.44336
0.995476	1.49321	0.983192	2.47641	0.951368	0.497738	1.44911
0.994981	1.49247	0.990346	2.48282	0.958035	0.497491	1.45553
0.994476	1.49171	0.998248	2.48996	0.965395	0.497238	1.46263
0.993961	1.49094	1.00691	2.49786	0.97346	0.49698	1.47044
0.993434	1.49015	1.01636	2.50651	0.982244	0.496717	1.47896
0.992897	1.48935	1.0266	2.51595	0.991759	0.496449	1.48821
0.99235	1.48852	1.03765	2.52618	1.00202	0.496175	1.49819
0.991793	1.48769	1.04953	2.53722	1.01303	0.495896	1.50893
