# Created on: Tue Feb 27 01:40:19 2018
# T	K	U	Etot	Pc	Pk	Ptot
0.696759	1.04514	0.106687	1.15183	0.0852685	0.557407	0.642676
0.999998	1.5	0.106797	1.60679	0.085422	0.799999	0.885421
0.999997	1.5	0.1068	1.6068	0.085422	0.799998	0.88542
0.999997	1.49999	0.106804	1.6068	0.0854212	0.799997	0.885418
0.999996	1.49999	0.10681	1.6068	0.0854192	0.799996	0.885416
0.999995	1.49999	0.106818	1.60681	0.0854175	0.799996	0.885413
0.999994	1.49999	0.106829	1.60682	0.0854176	0.799995	0.885413
0.999993	1.49999	0.106846	1.60683	0.0854226	0.799994	0.885417
0.999992	1.49999	0.106865	1.60685	0.0854284	0.799993	0.885422
0.99999	1.49999	0.106888	1.60687	0.0854376	0.799992	0.88543
0.999989	1.49998	0.106916	1.6069	0.0854491	0.799991	0.885441
0.999988	1.49998	0.106945	1.60693	0.0854613	0.799991	0.885452
0.999987	1.49998	0.106978	1.60696	0.0854744	0.79999	0.885464
0.999986	1.49998	0.107011	1.60699	0.0854866	0.799989	0.885476
0.999985	1.49998	0.107046	1.60702	0.0854971	0.799988	0.885485
0.999984	1.49998	0.107081	1.60706	0.0855064	0.799987	0.885494
0.999983	1.49997	0.107118	1.60709	0.0855155	0.799987	0.885502
0.999982	1.49997	0.107157	1.60713	0.0855246	0.799986	0.88551
0.999981	1.49997	0.107195	1.60717	0.085531	0.799985	0.885516
0.999981	1.49997	0.107234	1.60721	0.0855358	0.799984	0.88552
0.99998	1.49997	0.107274	1.60724	0.0855395	0.799984	0.885523
0.999979	1.49997	0.107316	1.60728	0.0855428	0.799983	0.885526
0.999978	1.49997	0.107358	1.60732	0.0855447	0.799982	0.885527
0.999977	1.49997	0.1074	1.60737	0.0855449	0.799982	0.885527
0.999976	1.49996	0.107444	1.60741	0.0855461	0.799981	0.885527
0.999976	1.49996	0.107488	1.60745	0.0855439	0.799981	0.885524
0.999975	1.49996	0.107533	1.6075	0.0855421	0.79998	0.885522
0.999974	1.49996	0.107578	1.60754	0.0855383	0.799979	0.885518
0.999974	1.49996	0.107624	1.60758	0.0855337	0.799979	0.885512
0.999973	1.49996	0.10767	1.60763	0.0855281	0.799978	0.885506
0.999972	1.49996	0.107718	1.60768	0.0855235	0.799978	0.885501
0.999972	1.49996	0.107766	1.60772	0.0855171	0.799977	0.885494
0.999971	1.49996	0.107816	1.60777	0.0855114	0.799977	0.885488
0.99997	1.49996	0.107866	1.60782	0.0855044	0.799976	0.885481
0.99997	1.49995	0.107915	1.60787	0.0854959	0.799976	0.885472
0.999969	1.49995	0.107966	1.60792	0.0854876	0.799975	0.885463
0.999969	1.49995	0.108017	1.60797	0.0854783	0.799975	0.885453
