# Created on: Tue Feb 27 01:40:19 2018
# T	K	U	Etot	Pc	Pk	Ptot
0.17419	0.261285	2.67723	2.93852	4.28358	0.139352	4.42293
0.498869	0.748303	2.6779	3.4262	4.28463	0.399095	4.68373
0.496967	0.74545	2.68102	3.42647	4.28963	0.397573	4.68721
0.495082	0.742622	2.68698	3.4296	4.29917	0.396065	4.69524
0.493215	0.739823	2.69575	3.43557	4.31319	0.394572	4.70777
0.491372	0.737059	2.70728	3.44434	4.33165	0.393098	4.72474
0.48956	0.73434	2.72153	3.45587	4.35445	0.391648	4.7461
0.48779	0.731685	2.73846	3.47014	4.38153	0.390232	4.77177
0.486078	0.729117	2.75797	3.48709	4.41275	0.388862	4.80162
0.484447	0.72667	2.77996	3.50663	4.44794	0.387557	4.8355
0.482926	0.724389	2.8043	3.52868	4.48687	0.386341	4.87321
0.481555	0.722332	2.83077	3.5531	4.52923	0.385244	4.91447
0.48038	0.72057	2.85912	3.57969	4.57459	0.384304	4.9589
0.479457	0.719185	2.88903	3.60821	4.62244	0.383566	5.00601
0.478849	0.718273	2.92006	3.63833	4.67209	0.383079	5.05517
0.47862	0.717931	2.95171	3.66964	4.72274	0.382896	5.10564
0.478833	0.71825	2.98338	3.70163	4.7734	0.383066	5.15647
0.479536	0.719303	3.01437	3.73368	4.823	0.383628	5.20662
0.480753	0.72113	3.04395	3.76508	4.87032	0.384603	5.25492
0.482479	0.723719	3.07135	3.79507	4.91416	0.385984	5.30015
0.484667	0.727001	3.09585	3.82285	4.95336	0.387734	5.3411
0.48723	0.730846	3.11682	3.84767	4.98692	0.389784	5.3767
0.490048	0.735072	3.1338	3.86887	5.01407	0.392039	5.40611
0.492979	0.739468	3.14647	3.88594	5.03436	0.394383	5.42874
0.495877	0.743815	3.15479	3.89861	5.04766	0.396701	5.44437
0.498608	0.747911	3.15889	3.9068	5.05422	0.398886	5.4531
0.501063	0.751595	3.15909	3.91068	5.05454	0.400851	5.45539
0.50317	0.754754	3.15585	3.91061	5.04937	0.402536	5.4519
0.504886	0.757328	3.14974	3.90707	5.03959	0.403908	5.4435
0.506203	0.759304	3.14134	3.90065	5.02615	0.404962	5.43111
0.507138	0.760707	3.13125	3.89196	5.01	0.405711	5.41571
0.507725	0.761588	3.12001	3.8816	4.99202	0.40618	5.3982
0.508008	0.762012	3.10812	3.87013	4.97299	0.406407	5.3794
0.508035	0.762052	3.096	3.85806	4.95361	0.406428	5.36004
0.507852	0.761778	3.08401	3.84579	4.93442	0.406281	5.3407
0.507503	0.761254	3.07243	3.83368	4.91589	0.406002	5.32189
0.507025	0.760538	3.06148	3.82202	4.89837	0.40562	5.30399
0.506453	0.759679	3.05132	3.811	4.88212	0.405162	5.28728
0.505814	0.758721	3.04209	3.80081	4.86734	0.404651	5.27199
0.505135	0.757703	3.03385	3.79155	4.85416	0.404108	5.25827
0.50444	0.75666	3.02665	3.78331	4.84264	0.403552	5.2462
0.503752	0.755628	3.0205	3.77613	4.8328	0.403002	5.23581
0.503091	0.754637	3.01537	3.77001	4.82459	0.402473	5.22707
0.502475	0.753713	3.0112	3.76492	4.81793	0.40198	5.21991
0.501919	0.752879	3.00792	3.7608	4.81268	0.401536	5.21421
0.501434	0.752151	3.00543	3.75758	4.80868	0.401147	5.20983
0.501025	0.751538	3.0036	3.75514	4.80576	0.40082	5.20658
0.500697	0.751045	3.00233	3.75337	4.80373	0.400557	5.20428
0.500448	0.750672	3.00149	3.75216	4.80239	0.400358	5.20275
0.500276	0.750413	3.00097	3.75138	4.80155	0.40022	5.20177
0.500172	0.750259	3.00065	3.75091	4.80104	0.400138	5.20118
0.500127	0.750191	3.00044	3.75063	4.8007	0.400102	5.20081
0.500127	0.75019	3.00026	3.75045	4.80042	0.400101	5.20052
0.500156	0.750235	3.00006	3.75029	4.80009	0.400125	5.20022
0.500204	0.750306	2.9998	3.7501	4.79967	0.400163	5.19984
0.500261	0.750392	2.99945	3.74984	4.79912	0.400209	5.19933
0.500325	0.750487	2.99901	3.7495	4.79842	0.40026	5.19868
0.500395	0.750592	2.99848	3.74907	4.79757	0.400316	5.19788
0.500475	0.750713	2.99783	3.74855	4.79653	0.40038	5.19691
0.500567	0.75085	2.99706	3.74791	4.79529	0.400453	5.19574
0.500668	0.751002	2.99614	3.74714	4.79382	0.400534	5.19435
0.500771	0.751157	2.99506	3.74622	4.79209	0.400617	5.19271
0.500865	0.751298	2.99383	3.74513	4.79013	0.400692	5.19082
0.500935	0.751402	2.99248	3.74388	4.78796	0.400748	5.18871
0.500964	0.751447	2.99105	3.74249	4.78568	0.400772	5.18645
0.500938	0.751407	2.98961	3.74102	4.78338	0.40075	5.18413
0.500844	0.751266	2.98826	3.73953	4.78122	0.400675	5.18189
0.500676	0.751014	2.98711	3.73812	4.77937	0.400541	5.17992
0.500437	0.750655	2.98626	3.73692	4.77802	0.400349	5.17837
0.500137	0.750206	2.98582	3.73603	4.77732	0.40011	5.17743
0.499798	0.749697	2.98587	3.73556	4.77739	0.399838	5.17723
0.499447	0.74917	2.98643	3.7356	4.7783	0.399557	5.17785
0.499113	0.74867	2.98752	3.73619	4.78004	0.399291	5.17933
0.498826	0.748239	2.98908	3.73732	4.78253	0.399061	5.18159
0.498607	0.747911	2.99102	3.73893	4.78563	0.398886	5.18452
0.498469	0.747703	2.99323	3.74093	4.78916	0.398775	5.18794
0.498414	0.74762	2.99558	3.7432	4.79293	0.398731	5.19166
0.498435	0.747653	2.99796	3.74561	4.79673	0.398748	5.19548
0.49852	0.74778	3.00025	3.74803	4.8004	0.398816	5.19921
0.49865	0.747975	3.00238	3.75035	4.80381	0.39892	5.20273
0.498803	0.748204	3.00429	3.75249	4.80687	0.399042	5.20591
0.498954	0.748432	3.00597	3.7544	4.80955	0.399164	5.20872
0.499083	0.748625	3.00744	3.75606	4.8119	0.399267	5.21117
0.499171	0.748757	3.00874	3.7575	4.81398	0.399337	5.21332
0.499207	0.74881	3.00995	3.75876	4.81592	0.399365	5.21528
0.499187	0.74878	3.01115	3.75992	4.81783	0.399349	5.21718
0.499117	0.748675	3.01241	3.76108	4.81985	0.399294	5.21915
0.499013	0.748519	3.01381	3.76233	4.82209	0.39921	5.22131
0.498896	0.748344	3.01538	3.76372	4.82461	0.399117	5.22372
0.498796	0.748193	3.01712	3.76531	4.82739	0.399036	5.22642
0.498741	0.748112	3.01898	3.76709	4.83036	0.398993	5.22935
0.49876	0.748139	3.02087	3.76901	4.83339	0.399008	5.23239
0.498867	0.7483	3.02266	3.77097	4.83626	0.399093	5.23536
0.499064	0.748596	3.02423	3.77283	4.83877	0.399251	5.23802
0.499337	0.749005	3.02544	3.77445	4.84071	0.399469	5.24018
0.499659	0.749488	3.02621	3.77569	4.84193	0.399727	5.24166
0.500001	0.750002	3.02646	3.77646	4.84234	0.400001	5.24234
0.500338	0.750506	3.02621	3.77671	4.84193	0.40027	5.2422
0.500649	0.750973	3.02546	3.77643	4.84073	0.400519	5.24125
0.50092	0.75138	3.02427	3.77565	4.83884	0.400736	5.23957
