# Created on: Tue Feb 27 01:40:19 2018
# T	K	U	Etot	Pc	Pk	Ptot
0.17419	0.261285	0.00308921	0.264374	0.00107098	0.0870949	0.0881659
0.5	0.75	0.00309772	0.753098	0.00107619	0.25	0.251076
0.5	0.75	0.00309776	0.753098	0.00107621	0.25	0.251076
0.5	0.75	0.00309781	0.753098	0.00107623	0.25	0.251076
0.5	0.75	0.00309783	0.753098	0.00107623	0.25	0.251076
0.5	0.75	0.00309783	0.753098	0.00107622	0.25	0.251076
0.5	0.75	0.00309792	0.753098	0.00107627	0.25	0.251076
0.5	0.75	0.00309817	0.753098	0.00107642	0.25	0.251076
0.5	0.75	0.00309877	0.753099	0.00107678	0.25	0.251077
0.5	0.75	0.00309956	0.7531	0.00107726	0.25	0.251077
0.5	0.75	0.00310056	0.753101	0.00107786	0.25	0.251078
0.5	0.75	0.00310183	0.753102	0.00107862	0.25	0.251079
0.5	0.75	0.00310323	0.753103	0.00107947	0.25	0.251079
0.5	0.75	0.00310481	0.753105	0.00108043	0.25	0.25108
0.5	0.75	0.00310634	0.753106	0.00108134	0.25	0.251081
0.5	0.75	0.00310799	0.753108	0.00108234	0.25	0.251082
0.5	0.75	0.00310953	0.753109	0.00108327	0.25	0.251083
0.5	0.75	0.00311113	0.753111	0.00108422	0.25	0.251084
0.5	0.75	0.00311247	0.753112	0.00108503	0.25	0.251085
0.5	0.75	0.00311396	0.753114	0.00108592	0.25	0.251086
0.5	0.75	0.00311549	0.753115	0.00108683	0.25	0.251087
0.5	0.75	0.00311687	0.753117	0.00108766	0.25	0.251088
0.5	0.75	0.00311816	0.753118	0.00108842	0.25	0.251088
0.5	0.75	0.00311945	0.753119	0.00108919	0.25	0.251089
0.5	0.75	0.00312059	0.753121	0.00108986	0.25	0.25109
0.5	0.75	0.00312174	0.753122	0.00109054	0.25	0.251091
0.5	0.75	0.00312291	0.753123	0.00109123	0.25	0.251091
0.5	0.75	0.00312393	0.753124	0.00109182	0.25	0.251092
0.5	0.75	0.00312507	0.753125	0.00109249	0.25	0.251092
0.5	0.75	0.00312599	0.753126	0.00109302	0.25	0.251093
0.5	0.75	0.00312702	0.753127	0.00109363	0.25	0.251094
0.5	0.75	0.00312791	0.753128	0.00109414	0.25	0.251094
0.5	0.75	0.00312879	0.753129	0.00109465	0.25	0.251095
0.5	0.75	0.00312953	0.753129	0.00109507	0.25	0.251095
0.5	0.75	0.00313032	0.75313	0.00109552	0.25	0.251096
0.5	0.75	0.00313113	0.753131	0.00109598	0.25	0.251096
0.5	0.75	0.00313186	0.753132	0.0010964	0.25	0.251096
