# Created on: Tue Feb 27 01:40:19 2018
# T	K	U	Etot	Pc	Pk	Ptot
0.17419	0.261285	0.0658425	0.327127	0.0348051	0.0870949	0.1219
0.499999	0.749999	0.0658704	0.815869	0.0348302	0.25	0.28483
0.499998	0.749997	0.0658722	0.81587	0.0348302	0.249999	0.284829
0.499997	0.749996	0.0658755	0.815871	0.0348299	0.249999	0.284829
0.499996	0.749995	0.0658801	0.815875	0.0348293	0.249998	0.284827
0.499995	0.749993	0.0658861	0.815879	0.0348283	0.249998	0.284826
0.499995	0.749992	0.0658937	0.815886	0.0348274	0.249997	0.284825
0.499994	0.74999	0.0659033	0.815894	0.0348267	0.249997	0.284823
0.499993	0.749989	0.0659154	0.815904	0.0348267	0.249996	0.284823
0.499992	0.749988	0.0659295	0.815917	0.0348271	0.249996	0.284823
0.499991	0.749986	0.0659457	0.815932	0.0348279	0.249995	0.284823
0.49999	0.749985	0.0659642	0.815949	0.0348293	0.249995	0.284824
0.499989	0.749983	0.0659845	0.815968	0.0348308	0.249994	0.284825
0.499988	0.749982	0.0660067	0.815989	0.0348326	0.249994	0.284827
0.499987	0.749981	0.0660302	0.816011	0.0348341	0.249994	0.284828
0.499986	0.749979	0.0660553	0.816035	0.0348357	0.249993	0.284829
0.499985	0.749978	0.0660814	0.816059	0.0348368	0.249993	0.28483
0.499985	0.749977	0.066109	0.816086	0.0348379	0.249992	0.28483
0.499984	0.749975	0.0661371	0.816113	0.034838	0.249992	0.28483
0.499983	0.749974	0.0661668	0.816141	0.0348383	0.249991	0.28483
0.499982	0.749973	0.066198	0.816171	0.0348386	0.249991	0.28483
0.499981	0.749972	0.0662298	0.816202	0.0348382	0.249991	0.284829
0.49998	0.749971	0.0662626	0.816233	0.0348374	0.24999	0.284828
0.49998	0.749969	0.0662965	0.816266	0.0348364	0.24999	0.284826
0.499979	0.749968	0.0663311	0.8163	0.0348347	0.249989	0.284824
0.499978	0.749967	0.0663669	0.816334	0.034833	0.249989	0.284822
0.499977	0.749966	0.0664038	0.81637	0.0348311	0.249989	0.28482
0.499977	0.749965	0.0664413	0.816406	0.0348286	0.249988	0.284817
0.499976	0.749964	0.0664802	0.816444	0.0348263	0.249988	0.284814
0.499975	0.749963	0.0665194	0.816482	0.0348233	0.249988	0.284811
