#A:	K:	U:	Tot:	Pc:
0	2.1033	0.45015	2.5535	0.36365
0.25	2.1033	0.46465	2.568	0.38199
0.5	2.1033	0.47011	2.5734	0.38575
0.75	2.1033	0.46901	2.5723	0.38211
1	2.1033	0.4632	2.5665	0.37528
1.25	2.1033	0.45489	2.5582	0.36721
1.5	2.1033	0.44552	2.5488	0.35876
1.75	2.1033	0.43574	2.539	0.3503
2	2.1033	0.42594	2.5292	0.34201
2.25	2.1033	0.41629	2.5196	0.33396
2.5	2.1033	0.40689	2.5102	0.32618
2.75	2.1033	0.39778	2.5011	0.3187
3	2.1033	0.38897	2.4923	0.31152
3.5	2.1033	0.38043	2.4837	0.30458
4	2.1033	0.37219	2.4755	0.29792
