#A:	K:	U:	Tot:	Pc:
0	2.1033	0.34655	2.4499	0.3068
0.25	2.1033	0.35218	2.4555	0.31625
0.5	2.1033	0.35424	2.4576	0.31835
0.75	2.1033	0.35353	2.4568	0.31653
1	2.1033	0.35057	2.4539	0.31301
1.25	2.1033	0.34651	2.4498	0.30891
1.5	2.1033	0.34202	2.4453	0.30464
1.75	2.1033	0.33738	2.4407	0.30036
2	2.1033	0.33273	2.436	0.29613
2.25	2.1033	0.32814	2.4314	0.29198
2.5	2.1033	0.32363	2.4269	0.28792
2.75	2.1033	0.31921	2.4225	0.28396
3	2.1033	0.31489	2.4182	0.2801
3.5	2.1033	0.31067	2.414	0.27633
4	2.1033	0.30655	2.4099	0.27266
