#A:	K:	U:	Tot:	Pc:
0	2.1033	0.55596	2.6593	0.43575
0.25	2.1033	0.58751	2.6908	0.46921
0.5	2.1033	0.59888	2.7022	0.47455
0.75	2.1033	0.59624	2.6995	0.46643
1	2.1033	0.58462	2.6879	0.45283
1.25	2.1033	0.56861	2.6719	0.43737
1.5	2.1033	0.55086	2.6542	0.42157
1.75	2.1033	0.53264	2.6359	0.40611
2	2.1033	0.51467	2.618	0.3913
2.25	2.1033	0.4973	2.6006	0.37724
2.5	2.1033	0.48068	2.584	0.36396
2.75	2.1033	0.46487	2.5682	0.35146
3	2.1033	0.44987	2.5532	0.3397
3.5	2.1033	0.4355	2.5388	0.32854
4	2.1033	0.42181	2.5251	0.31799
