#A:	K:	U:	Tot:	Pc:
0	2.1032	1.8251	3.9283	1.8251
0.25	2.1033	1.592	3.6953	1.458
0.5	2.1033	1.4018	3.5051	1.1927
0.75	2.1033	1.2382	3.3415	0.99919
1	2.1033	1.0988	3.2021	0.85621
1.25	2.1033	0.98326	3.0865	0.74782
1.5	2.1033	0.88789	2.9912	0.66348
1.75	2.1033	0.80834	2.9116	0.59606
2	2.1033	0.74138	2.8447	0.54102
2.25	2.1033	0.68447	2.7878	0.49528
2.5	2.1033	0.63559	2.7389	0.45669
2.75	2.1033	0.59314	2.6964	0.42367
3	2.1033	0.55602	2.6593	0.39513
3.5	2.1033	0.5225	2.6258	0.36982
4	2.1033	0.49234	2.5956	0.34733
