#A:	K:	U:	Tot:	Pc:
0	2.1033	0.28658	2.3899	0.2791
0.25	2.1033	0.28959	2.3929	0.28544
0.5	2.1033	0.29061	2.3939	0.28685
0.75	2.1033	0.29006	2.3934	0.2856
1	2.1033	0.28818	2.3915	0.28324
1.25	2.1033	0.28566	2.389	0.28054
1.5	2.1033	0.28294	2.3863	0.27776
1.75	2.1033	0.28016	2.3835	0.27498
2	2.1033	0.27739	2.3807	0.27223
2.25	2.1033	0.27465	2.378	0.26953
2.5	2.1033	0.27195	2.3753	0.26687
2.75	2.1033	0.2693	2.3726	0.26426
3	2.1033	0.26669	2.37	0.2617
3.5	2.1033	0.26413	2.3674	0.25918
4	2.1033	0.26162	2.3649	0.25672
