# Created on: Sun Feb 25 10:35:53 2018
# X	Y	Z	Vx	Vy	Vz
8.1974	10.1735	9.71077	2.41833	1.88744	1.76591
6.84654	10.3215	2.415	-0.351746	-1.30331	0.499977
4.87319	1.38494	7.71191	1.10325	0.618072	-1.21201
12.4644	4.4146	1.83937	-0.189433	-2.29986	-0.673956
1.67022	9.97283	4.40006	0.157405	-0.85067	0.458717
10.6324	8.46167	5.31862	0.112952	-1.19726	0.964884
3.90646	6.26559	2.11467	-2.08353	0.553475	-1.33036
0.347576	8.50013	12.4033	2.31485	-0.451976	-1.68942
3.17761	3.60584	1.52779	0.625939	1.22051	0.780064
8.75921	2.76361	6.33158	-0.401347	0.255426	0.672754
3.2801	10.4998	11.5967	0.599554	-0.731479	-0.289365
11.6519	0.829472	7.42131	0.38706	0.0506783	1.67381
7.63724	1.94774	3.33171	0.744767	0.48503	-0.935587
11.5346	10.1437	6.34653	-0.422705	-1.22638	0.32623
6.26046	9.08216	12.4716	2.0012	-1.0356	1.04737
3.39757	4.83744	2.46122	0.473975	0.662233	-0.69369
3.39611	2.55671	1.68979	0.755843	0.234567	-1.59032
0.534298	10.3747	2.58178	0.45938	0.510852	-0.367945
10.3492	0.95702	3.71862	0.0179157	0.201373	-1.59207
9.82396	10.2749	1.03861	-0.406478	2.01527	-1.89956
7.27408	12.1638	4.96172	-0.520871	2.42495	-1.06469
11.4481	2.59471	0.820969	-0.746859	0.259817	-0.539824
5.56365	7.37041	12.2249	1.18398	0.394518	-0.511029
5.44824	9.73597	2.84927	1.42398	1.16775	0.0834619
12.408	0.133579	12.4338	0.635637	-0.421226	-1.9023
1.80063	0.0636546	7.93559	0.611058	-0.227085	0.531131
6.71534	1.94773	10.4448	-1.36936	-0.357847	0.549524
8.73719	8.8206	6.17755	-1.25405	-1.1386	1.59822
12.1211	9.07581	6.93731	-0.66461	1.77579	-0.570867
1.14407	5.75979	8.66507	0.508952	0.292044	-0.425749
1.82255	2.23612	0.803371	0.847225	-0.692777	0.599274
2.90776	2.89461	11.7351	-0.0363272	-0.685507	-0.341647
10.697	3.60386	0.91303	-1.05859	0.316328	-0.524305
2.70795	11.0774	1.35811	0.390495	-1.59303	1.19665
10.6241	8.65475	9.13759	-0.83579	0.490139	0.384906
7.69432	5.97195	6.73962	-0.603391	0.400836	-0.427429
12.3683	6.16488	9.42512	-0.0922118	0.155987	-0.115711
5.48925	4.70875	1.0592	0.786034	-0.956065	1.37706
2.5684	2.93102	10.0044	0.286233	-0.00399679	0.0447331
10.5449	9.18989	3.15546	-0.380473	1.1178	0.370004
1.42968	3.46618	0.297282	0.423872	-0.232448	0.372375
1.83365	11.0191	9.17931	-0.412994	0.555366	-0.346303
1.38885	10.6681	10.7456	0.601972	-1.11319	-0.814846
3.54403	6.08907	10.3999	0.346224	-0.413616	-1.46933
12.4863	0.734479	4.22391	-0.599184	-0.279682	1.28427
12.0657	1.99469	8.5514	-0.819329	1.09449	0.0294979
3.28144	12.5935	10.7097	0.231128	0.930157	-0.127241
11.2659	5.11596	11.0921	0.612925	1.02563	0.708829
10.7635	3.87295	0.143182	-0.519626	-0.719069	-0.0855619
5.33809	6.58063	11.5993	0.986226	0.417993	-0.0208987
11.6299	8.83145	0.439102	-0.481984	0.380724	-0.182465
2.34794	8.04936	3.92477	-0.201134	-0.464999	0.560638
7.88416	4.14541	12.2077	-1.44845	-0.962926	-0.781813
4.90769	3.64325	5.67505	1.37429	0.111647	-1.79088
7.11425	0.678638	3.37935	1.14204	-1.34338	-0.133304
8.50245	6.05982	8.14345	0.629811	-0.678436	-0.879797
0.542036	11.2812	9.2487	0.293605	-0.26169	-0.486805
6.73467	12.0331	11.3555	1.12064	-1.75667	0.856702
