# Created on: Sun Feb 25 09:55:55 2018
# T	K	U	Etot	Pc	Pk	Ptot
0.696759	1.04514	0.123606	1.16875	0.0717174	0.34838	0.420097
0.999996	1.49999	0.123623	1.62362	0.0717305	0.499998	0.571728
0.999992	1.49999	0.123632	1.62362	0.0717307	0.499996	0.571726
0.999987	1.49998	0.123648	1.62363	0.0717308	0.499994	0.571724
0.999983	1.49997	0.12367	1.62364	0.0717306	0.499991	0.571722
0.999978	1.49997	0.1237	1.62367	0.0717304	0.499989	0.57172
0.999974	1.49996	0.123736	1.6237	0.0717304	0.499987	0.571717
0.999969	1.49995	0.123779	1.62373	0.071731	0.499985	0.571716
0.999965	1.49995	0.123831	1.62378	0.071733	0.499983	0.571716
0.999961	1.49994	0.12389	1.62383	0.0717351	0.49998	0.571715
0.999956	1.49993	0.123955	1.62389	0.0717377	0.499978	0.571716
0.999952	1.49993	0.124029	1.62396	0.0717417	0.499976	0.571718
0.999948	1.49992	0.124109	1.62403	0.0717456	0.499974	0.57172
0.999944	1.49992	0.124195	1.62411	0.0717497	0.499972	0.571722
0.99994	1.49991	0.124289	1.6242	0.0717542	0.49997	0.571724
0.999935	1.4999	0.124388	1.62429	0.0717584	0.499968	0.571726
0.999931	1.4999	0.124493	1.62439	0.0717621	0.499966	0.571728
0.999927	1.49989	0.124605	1.6245	0.0717662	0.499964	0.57173
0.999923	1.49989	0.124721	1.62461	0.0717691	0.499962	0.571731
0.99992	1.49988	0.124845	1.62472	0.0717729	0.49996	0.571733
0.999916	1.49987	0.124973	1.62485	0.0717761	0.499958	0.571734
0.999912	1.49987	0.125107	1.62498	0.0717786	0.499956	0.571735
0.999908	1.49986	0.125246	1.62511	0.0717808	0.499954	0.571735
0.999905	1.49986	0.12539	1.62525	0.0717826	0.499952	0.571735
0.999901	1.49985	0.12554	1.62539	0.0717842	0.499951	0.571735
0.999898	1.49985	0.125695	1.62554	0.0717855	0.499949	0.571734
0.999895	1.49984	0.125854	1.6257	0.0717864	0.499947	0.571734
0.999891	1.49984	0.126018	1.62585	0.0717867	0.499946	0.571732
0.999888	1.49983	0.126187	1.62602	0.0717874	0.499944	0.571731
0.999885	1.49983	0.126361	1.62619	0.0717871	0.499943	0.57173
0.999882	1.49982	0.126539	1.62636	0.071787	0.499941	0.571728
0.999879	1.49982	0.126721	1.62654	0.0717862	0.49994	0.571726
0.999876	1.49981	0.126907	1.62672	0.0717847	0.499938	0.571723
0.999874	1.49981	0.127097	1.62691	0.0717833	0.499937	0.57172
0.999871	1.49981	0.127291	1.6271	0.0717814	0.499936	0.571717
0.999869	1.4998	0.127489	1.62729	0.0717796	0.499934	0.571714
0.999866	1.4998	0.12769	1.62749	0.0717773	0.499933	0.57171
0.999864	1.4998	0.127895	1.62769	0.0717749	0.499932	0.571707
0.999862	1.49979	0.128104	1.6279	0.0717722	0.499931	0.571703
