# Created on: Sun Feb 25 09:56:08 2018
# X	Y	Z	Vx	Vy	Vz
1.13681	1.68301	1.56605	0.978613	2.09536	1.90545
12.3904	0.671633	1.88739	-1.70122	0.108566	0.00138801
1.04462	0.701737	2.43573	0.83428	0.157211	-1.45434
0.985806	12.5571	4.11065	0.583392	-1.39675	-0.637003
0.821109	0.287396	5.47237	0.333839	-0.711092	-0.335711
0.561232	0.328412	6.55626	-0.154654	-0.644476	-0.737541
12.4482	1.61318	7.71896	-1.61521	1.98492	-0.971853
1.80399	0.106614	8.54244	2.34916	-1.09437	-1.85086
0.532375	0.857543	10.7492	-0.178738	0.426011	0.079088
12.5886	0.886197	0.312934	-1.35388	0.521853	1.95438
0.814664	1.34633	0.207204	0.346923	-1.06097	-0.869995
0.159318	2.0298	2.38988	-0.957208	0.249432	1.01728
1.64489	1.76691	3.58502	2.07696	-0.270769	0.920649
0.552931	1.67894	4.75172	-0.159722	-0.421167	0.727906
0.901231	1.29159	6.43738	0.579035	-1.27541	1.5219
0.814693	1.95854	6.33341	0.383838	0.210804	-1.20298
0.653776	1.91707	7.55929	0.0260354	0.078599	-1.31626
0.497556	1.07022	8.5318	-0.250784	-1.70707	-1.82709
0.117734	1.43704	10.3827	-1.0111	-0.95432	-0.764946
0.0807693	2.54576	10.9715	-1.06603	1.41026	-1.97245
12.438	3.82264	11.9343	-1.65383	1.35584	-2.61254
0.785418	2.84609	1.83574	0.317627	-0.58488	-0.135586
1.31202	3.8444	3.04226	1.3927	1.36594	-0.282512
1.09533	3.54445	4.21103	0.921818	0.784236	-0.363846
0.378508	2.78477	5.42458	-0.455682	-0.734785	-0.515229
0.225546	2.96274	6.94406	-0.751775	-0.396343	0.0130007
12.3951	3.03123	8.17664	-1.58521	-0.235866	-0.0121612
0.44908	2.12364	10.1996	-0.368226	-2.08602	1.4605
0.851196	3.2716	10.0307	0.437708	0.276701	-1.35966
0.566878	3.37128	11.5581	-0.109961	0.457523	-0.858825
0.604983	4.41125	0.125279	-0.0553982	-0.0544396	-0.991844
0.940474	4.53635	1.33404	0.587078	0.225371	-1.15897
0.864658	4.05444	3.2326	0.384104	-0.658287	0.210801
0.879211	4.13583	5.49286	0.509577	-0.620019	2.16486
0.490785	4.65319	5.85165	-0.334059	0.479016	0.480632
12.5451	4.07693	7.04361	-1.32871	-0.617742	0.22099
0.536165	4.66204	8.4999	-0.176016	0.499426	0.612172
0.780592	4.80104	9.73809	0.307592	0.705396	0.585703
0.835298	4.27133	10.8323	0.428944	-0.323274	0.26603
0.270331	5.18181	12.2598	-0.766959	1.50423	0.56119
0.569389	5.56337	0.244656	-0.125919	-0.193337	-0.749342
0.701162	6.40399	1.21009	0.157271	1.51607	-1.35032
0.618631	4.69246	2.42117	-0.083406	-1.94673	-1.4677
1.02375	6.04419	3.5883	0.775764	0.668429	-1.63937
0.758926	4.90606	5.35111	0.277166	-1.43401	-0.698589
0.953012	6.78617	6.94566	0.535321	2.2138	0.00292125
0.864285	6.50446	8.67725	0.431458	1.70407	0.973015
0.674137	5.24166	9.63108	0.0464659	-0.808412	0.356749
0.604883	5.56118	11.0404	0.0209296	-0.175582	0.641809
0.949173	5.64812	11.7891	0.689549	0.00623245	-0.335672
0.366018	6.69297	0.42359	-0.502881	-0.420546	-0.438481
0.689173	7.07755	2.36831	0.0880834	0.306785	0.878624
0.524866	6.82071	2.88912	-0.275348	-0.232658	-0.536928
0.788008	6.56292	3.20241	0.318523	-0.745035	-2.39253
1.03008	6.37844	5.62642	0.776862	-1.16673	-0.112685
1.41687	6.53593	7.20005	1.64382	-0.775886	0.621741
0.427216	7.4889	8.51913	-0.366781	1.19038	0.662642
1.14691	6.30852	9.64677	1.07329	-1.24429	0.404854
0.455437	6.66404	10.3738	-0.379019	-0.514509	-0.690019
12.5784	6.01008	11.766	-1.28657	-1.82881	-0.3922
0.501527	8.81991	0.312312	-0.302637	1.21754	-0.665384
12.2727	9.88437	1.46785	-1.92774	3.46995	-0.992583
0.551408	8.18771	3.1139	-0.141951	-0.0863125	-0.076197
0.788634	7.21386	4.86733	0.286641	-1.99028	0.938181
0.561776	9.13051	5.86097	-0.183383	1.8916	0.372225
0.818165	7.97351	5.96106	0.343905	-0.451932	-1.96192
0.279562	9.0981	9.12473	-0.725024	1.81366	1.79004
0.947261	8.74909	10.0691	0.675297	1.16056	1.33178
0.818737	7.82484	10.5088	0.363726	-0.766459	-0.343434
12.2161	8.36343	11.9664	-1.99723	0.351511	0.0717177
0.694421	8.72081	0.422462	0.180765	-1.40712	-0.389172
0.285785	9.35327	2.26717	-0.579622	-0.153894	0.779035
0.809177	8.87915	2.95779	0.40933	-1.0907	-0.392735
12.5411	8.59663	3.53303	-1.32679	-1.7177	-1.6886
0.876824	9.75973	5.08639	0.516314	0.572316	-1.2475
1.00305	10.016	6.56649	0.794118	1.09694	-0.719191
0.936411	8.50629	7.85028	0.57918	-1.9251	-0.724614
0.523855	9.40653	9.57326	-0.132336	0.00122961	0.312349
0.132498	9.25606	10.8876	-0.968089	-0.345346	0.358555
1.52831	9.93615	11.8788	1.75087	0.899461	-0.174079
0.926512	10.8776	1.04001	0.576605	0.270819	0.800952
0.44752	10.9045	2.28321	-0.39828	0.273549	0.814273
1.21419	10.8264	3.45635	1.19602	0.209623	0.677626
0.414002	10.5551	5.21309	-0.443817	-0.305832	1.46385
0.286698	10.353	5.36801	-0.738329	-0.805201	-0.570883
0.714105	9.96271	6.60092	0.108505	-1.46696	-0.626109
0.104303	9.94963	8.11914	-1.05509	-1.55525	-0.14766
1.57448	10.3693	9.20878	1.83815	-0.695455	-0.530151
0.724322	11.1907	11.3864	0.211849	0.977957	1.32564
0.493639	10.7695	12.0494	-0.318111	0.0977627	0.222127
0.866639	11.7025	0.618837	0.474672	-0.498762	-0.0635563
0.740592	11.9646	1.94518	0.184809	0.135304	0.0448238
1.04505	11.92	2.55786	0.854526	-0.0612837	-1.0915
0.95767	0.654766	5.40486	0.654762	2.61934	2.00126
0.788436	11.0637	5.42732	0.366041	-1.74931	-0.504076
1.04531	11.259	7.19813	0.845538	-1.45847	0.57191
0.45869	12.5638	8.12868	-0.324464	1.22401	-0.120323
12.3285	11.2391	9.27446	-1.78805	-1.51474	-0.290054
0.188967	12.1168	10.9526	-0.879386	0.286191	0.443441
12.5661	12.4734	12.1273	-1.30729	1.00505	0.382095
1.85314	0.0959327	0.102171	-0.0600424	-1.0586	-1.07419
2.2719	0.352759	2.796	0.714595	-0.552436	1.81509
1.66375	12.3347	3.77781	-0.42893	-1.78115	1.27908
1.39456	0.450181	4.1898	-0.965943	-0.268288	-0.417788
2.23296	12.35	4.9245	0.740111	-1.79698	-1.52103
1.97127	12.211	7.15849	0.208485	-2.04249	0.44125
1.97691	1.77296	8.42862	0.229051	2.26435	0.500237
2.13004	0.83732	10.0236	0.420971	0.445693	1.12373
1.51397	0.0556156	10.6798	-0.710956	-1.14393	0.0169561
0.81933	1.08931	11.9633	-2.162	0.925621	-0.0406752
1.73186	1.7506	0.837306	-0.271777	-0.265734	0.401503
1.47799	1.69062	1.74518	-0.760257	-0.412817	-0.243972
0.85983	2.21669	2.73408	-2.05593	0.69505	-0.862468
1.59414	1.59141	4.54942	-0.609436	-0.578447	0.270432
2.30565	1.45626	5.0877	0.82205	-0.902657	-1.12844
1.46167	2.36652	8.02232	-0.827209	1.04145	2.13443
1.38277	2.13843	7.97244	-1.03163	0.497375	-0.387082
1.34531	1.6998	9.44228	-1.11502	-0.374848	-0.0111858
1.91787	2.39888	10.3057	0.0576724	1.05568	-0.805242
1.73574	1.88879	12.3661	-0.297111	-0.0340196	0.791799
1.85763	3.61972	1.27343	-0.0395083	0.967948	1.28616
1.72218	2.89757	1.75554	-0.284528	-0.523455	-0.241843
1.78951	3.28181	3.48366	-0.169139	0.189515	0.628629
2.25522	3.87928	3.86663	0.784792	1.50461	-1.08569
1.84922	3.39462	5.84805	-0.122093	0.456535	0.335722
2.30524	2.87117	6.90179	0.836895	-0.617541	-0.0377391
1.70431	3.35422	8.21502	-0.372993	0.464867	0.0452248
1.45462	3.3665	9.35225	-0.87398	0.354812	-0.230152
2.06314	2.71232	12.1531	0.431144	-0.885465	2.87374
1.43526	2.87349	12.2403	-0.988415	-0.528029	0.617176
1.66313	4.11906	0.0740033	-0.436088	-0.626373	-1.13923
1.18068	4.70685	2.28892	-1.36399	0.609136	0.82567
2.35145	4.65116	3.45261	0.977664	0.510718	0.598937
1.67215	4.30976	4.51297	-0.45112	-0.143591	0.237059
2.12703	4.43805	6.01867	0.446557	0.0844938	0.677985
2.57847	3.98035	6.72474	1.35709	-0.822515	-0.41127
2.7437	4.83138	8.26309	1.70957	0.789385	0.171311
1.51714	3.65545	9.51686	-0.713355	-1.44221	0.154637
2.47821	4.34589	11.1554	1.20697	-0.219139	0.931563
2.19376	5.36319	12.4352	0.661568	1.89447	0.962876
1.26736	5.56213	0.994561	-1.27519	-0.166364	0.738125
1.87848	5.05562	0.936368	0.0582607	-1.27749	-1.88645
2.34625	5.53348	2.9904	0.91404	-0.263972	-0.359784
1.83946	6.41775	3.91965	-0.0640874	1.52148	-0.99181
2.43835	5.13985	4.84141	1.08874	-1.04295	-1.70805
1.95607	5.4545	6.8938	0.0290083	-0.463663	-0.0556642
1.72106	5.67975	7.9572	-0.452709	-0.0207001	-0.561607
1.41923	5.45133	8.81892	-0.946706	-0.485984	-1.20974
2.14781	4.81537	11.0855	0.53172	-1.70748	0.706145
1.59597	5.33367	11.6168	-0.566724	-0.656948	-0.722045
2.53954	5.71586	12.5468	1.33292	-2.43622	-1.39638
1.95861	7.67826	2.34927	0.214264	1.54427	0.857226
2.19045	6.93904	2.43051	0.640242	-0.0655219	-1.41005
1.8101	7.02617	4.88865	-0.130746	0.19618	0.962861
1.81394	7.27964	6.04067	-0.185696	0.713328	0.680446
1.51854	7.42655	6.47703	-0.764286	1.06058	-0.833458
2.00872	6.22487	8.38293	0.297996	-1.27542	0.436583
2.24219	7.91416	9.67018	0.735062	1.96478	0.389643
1.89195	6.03143	10.9441	0.0117852	-1.84337	0.456533
2.63188	7.17845	11.1325	1.50913	0.516771	-1.65766
1.62739	8.47859	0.158785	-0.532044	0.577645	-0.946811
