# Created on: Sun Feb 25 09:55:55 2018
# T	K	U	Etot	Pc	Pk	Ptot
1.00052	1.50078	1.26451	2.76528	1.03807	0.500259	1.53833
1.00046	1.50069	1.26377	2.76446	1.03753	0.50023	1.53776
1.0004	1.5006	1.26313	2.76373	1.03703	0.500201	1.53723
1.00035	1.50052	1.26257	2.76309	1.03658	0.500173	1.53676
1.00029	1.50044	1.26209	2.76253	1.03618	0.500146	1.53633
1.00024	1.50036	1.26169	2.76205	1.03582	0.50012	1.53594
1.00019	1.50029	1.26137	2.76165	1.0355	0.500096	1.5356
1.00015	1.50022	1.26111	2.76133	1.03522	0.500073	1.53529
1.00011	1.50016	1.26092	2.76108	1.03497	0.500053	1.53502
1.00007	1.50011	1.26079	2.7609	1.03475	0.500036	1.53478
