# Created on: Sun Feb 25 09:55:40 2018
# T	K	U	Etot	Pc	Pk	Ptot
0.696759	1.04514	0.329597	1.37474	0.23441	0.34838	0.58279
0.999962	1.49994	0.329636	1.82958	0.234434	0.499981	0.734415
0.999918	1.49988	0.329726	1.8296	0.234465	0.499959	0.734424
0.999874	1.49981	0.329882	1.82969	0.234519	0.499937	0.734456
0.999829	1.49974	0.330105	1.82985	0.234596	0.499915	0.734511
0.999785	1.49968	0.330394	1.83007	0.234696	0.499893	0.734589
0.999741	1.49961	0.330749	1.83036	0.234819	0.499871	0.73469
0.999697	1.49955	0.331172	1.83072	0.234965	0.499849	0.734814
0.999653	1.49948	0.331662	1.83114	0.235136	0.499827	0.734962
0.999609	1.49941	0.332218	1.83163	0.235328	0.499805	0.735133
0.999566	1.49935	0.332841	1.83219	0.235543	0.499783	0.735325
0.999522	1.49928	0.333531	1.83281	0.23578	0.499761	0.735541
0.999478	1.49922	0.334286	1.8335	0.236039	0.499739	0.735779
0.999435	1.49915	0.335107	1.83426	0.236319	0.499717	0.736037
0.999392	1.49909	0.335993	1.83508	0.23662	0.499696	0.736316
0.999349	1.49902	0.336944	1.83597	0.23694	0.499674	0.736615
0.999306	1.49896	0.337959	1.83692	0.23728	0.499653	0.736932
0.999263	1.49889	0.339039	1.83793	0.237639	0.499631	0.73727
0.99922	1.49883	0.340182	1.83901	0.238014	0.49961	0.737625
0.999178	1.49877	0.341389	1.84016	0.238409	0.499589	0.737998
0.999136	1.4987	0.34266	1.84136	0.238821	0.499568	0.738389
0.999094	1.49864	0.343992	1.84263	0.239248	0.499547	0.738795
0.999052	1.49858	0.345387	1.84397	0.239692	0.499526	0.739218
0.999011	1.49852	0.346844	1.84536	0.24015	0.499506	0.739656
0.99897	1.49846	0.348362	1.84682	0.240623	0.499485	0.740109
0.99893	1.49839	0.349941	1.84834	0.24111	0.499465	0.740575
0.99889	1.49834	0.35158	1.84991	0.24161	0.499445	0.741055
0.998851	1.49828	0.353278	1.85155	0.242122	0.499425	0.741548
0.998812	1.49822	0.355035	1.85325	0.242647	0.499406	0.742052
0.998773	1.49816	0.356849	1.85501	0.243181	0.499387	0.742568
0.998736	1.4981	0.358721	1.85682	0.243726	0.499368	0.743093
0.998699	1.49805	0.360648	1.8587	0.244279	0.499349	0.743629
0.998662	1.49799	0.362629	1.86062	0.244841	0.499331	0.744172
0.998627	1.49794	0.364665	1.86261	0.245411	0.499314	0.744724
0.998592	1.49789	0.366752	1.86464	0.245987	0.499296	0.745283
0.998559	1.49784	0.368891	1.86673	0.246569	0.499279	0.745849
0.998526	1.49779	0.37108	1.86887	0.247156	0.499263	0.74642
0.998494	1.49774	0.373317	1.87106	0.247748	0.499247	0.746995
0.998464	1.4977	0.3756	1.8733	0.248343	0.499232	0.747575
0.998434	1.49765	0.377928	1.87558	0.24894	0.499217	0.748157
0.998406	1.49761	0.380299	1.87791	0.249539	0.499203	0.748742
0.998379	1.49757	0.382712	1.88028	0.250139	0.49919	0.749329
0.998354	1.49753	0.385163	1.88269	0.250739	0.499177	0.749915
0.998329	1.49749	0.387652	1.88515	0.251338	0.499165	0.750503
0.998307	1.49746	0.390176	1.88764	0.251935	0.499153	0.751089
0.998285	1.49743	0.392732	1.89016	0.25253	0.499143	0.751673
0.998266	1.4974	0.395319	1.89272	0.253121	0.499133	0.752254
0.998248	1.49737	0.397935	1.89531	0.253709	0.499124	0.752833
0.998231	1.49735	0.400577	1.89792	0.254294	0.499116	0.753409
0.998216	1.49732	0.403242	1.90057	0.254873	0.499108	0.753981
0.998203	1.4973	0.405928	1.90323	0.255446	0.499102	0.754547
0.998192	1.49729	0.408632	1.90592	0.256013	0.499096	0.755109
