# Created on: Sun Feb 25 09:55:55 2018
# X	Y	Z	Vx	Vy	Vz
1.13567	1.68642	1.55088	1.00829	2.11379	1.85315
12.3954	0.669262	1.88703	-1.68099	0.0850794	-0.00588596
1.04476	0.698533	2.44138	0.830274	0.143151	-1.42811
1.00481	12.5578	4.1285	0.715436	-1.35979	-0.572004
0.826327	0.286874	5.46128	0.378865	-0.691319	-0.407174
0.561055	0.336082	6.55812	-0.144891	-0.600937	-0.741032
12.457	1.61485	7.72665	-1.56084	1.97588	-0.936624
1.80068	0.119326	8.55145	2.34425	-1.04085	-1.80914
0.533121	0.86268	10.7501	-0.186513	0.458948	0.0780636
0.00180301	0.882583	0.298026	-1.27982	0.511155	1.8811
0.821097	1.33515	0.219289	0.373371	-1.10479	-0.828945
0.16263	2.03331	2.38594	-0.942256	0.27855	0.998757
1.64795	1.77454	3.56508	2.05645	-0.234181	0.840729
0.552049	1.67963	4.74158	-0.15943	-0.41876	0.677753
0.894027	1.30728	6.44647	0.539638	-1.18086	1.55599
0.813857	1.9488	6.32904	0.376026	0.130857	-1.21312
0.658734	1.90712	7.5709	0.0527355	0.0395485	-1.25423
0.50005	1.08216	8.53242	-0.25744	-1.63925	-1.83167
0.10715	1.44433	10.4065	-1.03888	-0.906411	-0.636255
0.0744518	2.52995	10.9662	-1.103	1.30777	-1.99993
12.4507	3.82254	11.9399	-1.57812	1.34526	-2.58876
0.78363	2.8437	1.84165	0.31108	-0.604584	-0.10707
1.31153	3.85027	3.05223	1.36749	1.40264	-0.212433
1.09089	3.54598	4.20852	0.915598	0.791345	-0.391546
0.372168	2.788	5.42892	-0.504621	-0.726634	-0.490706
0.216141	2.96557	6.94624	-0.810593	-0.37173	0.0279037
12.3876	3.02928	8.17312	-1.6646	-0.23978	-0.0217106
0.455044	2.13761	10.2068	-0.350462	-2.03339	1.50463
0.847357	3.26233	10.0288	0.434232	0.235292	-1.36709
0.567598	3.36489	11.5705	-0.121646	0.435086	-0.805081
0.60585	4.41722	0.121414	-0.0505892	-0.00731423	-1.01355
0.949948	4.53942	1.3438	0.632646	0.24945	-1.10327
0.874857	4.04522	3.22512	0.466365	-0.718896	0.161001
0.879784	4.14206	5.49328	0.499034	-0.550627	2.17297
0.498302	4.66072	5.82968	-0.274982	0.505909	0.346043
12.5418	4.07138	7.0428	-1.35876	-0.662787	0.223727
0.533178	4.66129	8.50011	-0.189229	0.501031	0.617724
0.781515	4.81368	9.7364	0.303958	0.79263	0.573312
0.832655	4.27826	10.8265	0.41139	-0.281945	0.239057
0.28055	5.18638	12.2662	-0.712098	1.54026	0.591654
0.573909	5.56198	0.245418	-0.111072	-0.208459	-0.761575
0.699846	6.39574	1.21193	0.147405	1.47128	-1.35442
0.623782	4.69417	2.42812	-0.0272149	-1.95172	-1.44619
1.02723	6.0569	3.59248	0.789905	0.754134	-1.63458
0.755913	4.89194	5.35912	0.254417	-1.53544	-0.635766
0.968782	6.80029	6.95173	0.65266	2.26184	0.0415286
0.87126	6.49872	8.67692	0.469478	1.67176	0.97556
0.682204	5.23525	9.62884	0.0936283	-0.865238	0.355821
0.584847	5.55763	11.0434	-0.0784914	-0.218926	0.657718
0.942165	5.64257	11.7868	0.643399	-0.0386184	-0.360249
0.360365	6.68481	0.426425	-0.527133	-0.468204	-0.412856
0.692533	7.07062	2.37844	0.117681	0.284566	0.958385
0.531476	6.82424	2.89502	-0.21328	-0.219588	-0.510984
0.789265	6.56218	3.20195	0.31554	-0.743682	-2.41564
1.03371	6.38799	5.63271	0.798064	-1.10656	-0.084719
1.40772	6.52308	7.18473	1.56564	-0.814609	0.528101
