# Created on: Sun Feb 25 09:55:54 2018
# X	Y	Z	Vx	Vy	Vz
1.12196	1.62759	1.64931	0.24531	1.65486	1.91392
12.3805	0.693236	1.89681	-1.66849	0.293359	0.0772522
1.05313	0.715984	2.40968	0.86737	0.210804	-1.52774
0.854482	0.0128342	3.94933	-0.326444	-1.36499	-1.26133
0.75029	0.356997	5.68466	-0.554527	-0.344271	1.59722
0.564976	0.288125	6.55102	-0.205919	-0.862129	-0.613606
12.393	1.59708	7.68497	-1.87935	2.02119	-1.03816
1.82139	0.0456872	8.488	2.29759	-1.28785	-2.03399
0.522919	0.811098	10.7611	-0.163168	0.117264	0.212474
12.522	0.902924	0.393536	-1.70551	0.526765	2.28661
0.78513	1.43756	0.123842	0.23647	-0.650278	-1.08864
0.150236	2.00869	2.41849	-0.943917	0.0944462	1.13301
1.48183	1.67606	3.78242	1.51767	-0.618475	1.50485
0.561006	1.66993	4.81186	-0.154856	-0.460576	1.01926
0.947846	1.15166	6.29081	0.819454	-1.95778	0.844528
0.80392	2.0669	6.45825	0.340039	0.883188	-0.664096
0.632138	1.99445	7.4938	-0.0800563	0.384627	-1.58317
0.489944	1.00321	8.51771	-0.166314	-2.01272	-1.81867
0.218215	1.39204	10.2144	-0.723323	-1.3155	-1.57543
0.143902	2.67134	11.0151	-0.638237	2.16799	-1.70273
12.358	3.83433	11.9161	-2.05913	1.43303	-2.60805
0.792664	2.85659	1.80728	0.309023	-0.481829	-0.289135
1.33	3.74163	2.96648	1.58508	0.728146	-0.833108
1.13694	3.54005	4.21809	1.02511	0.743319	-0.251886
0.415864	2.7669	5.40239	-0.114937	-0.732456	-0.61128
0.281051	2.9393	6.93141	-0.408302	-0.531878	-0.0710158
12.4464	3.03861	8.17488	-0.929085	-0.202995	-0.220668
0.409861	2.03353	10.1316	-0.462798	-2.16972	1.07699
0.881755	3.3326	10.0741	0.476397	0.507	-1.1527
0.575394	3.40768	11.4662	0.0446664	0.59153	-1.20536
0.604571	4.38681	0.156757	-0.054745	-0.265515	-0.814993
0.873525	4.52653	1.26757	0.28625	0.138904	-1.46337
0.796079	4.16863	3.29718	-0.180103	0.087144	0.678647
0.889367	4.08792	5.46021	0.629999	-1.04783	1.87303
0.432775	4.57295	6.02309	-0.724322	0.154272	1.46112
12.5493	4.10407	7.05202	-1.16834	-0.321498	0.235466
0.547812	4.67088	8.50505	-0.10139	0.498007	0.608427
0.781135	4.68331	9.75669	0.380404	-0.16689	0.694046
0.851115	4.24982	10.8654	0.528554	-0.425807	0.417569
0.207789	5.1566	12.2133	-1.06834	1.23223	0.276015
0.531464	5.56618	0.231513	-0.28894	-0.10907	-0.696042
0.706677	6.44217	1.19538	0.195761	1.67219	-1.27647
0.580079	4.68926	2.37143	-0.57361	-1.82502	-1.60487
