# Created on: Sun Feb 25 10:38:38 2018
# X	Y	Z	Vx	Vy	Vz
5.82679	11.2588	9.79577	1.03418	2.06239	1.82468
5.14094	1.07823	2.02146	-1.59051	0.223473	0.00922319
4.68519	1.13969	8.54403	0.736612	0.10389	-1.47782
4.01748	6.83948	1.14332	0.672893	-1.20896	-0.772813
2.63334	9.97312	3.52776	0.391012	-0.617067	-0.402585
12.2149	10.2876	3.27465	-0.210332	-0.632645	-0.665356
5.23298	10.2205	3.35296	-1.59919	1.86414	-0.972406
12.3799	8.25104	0.33252	2.40004	-0.952496	-1.89649
0.00525004	3.24422	11.5099	-0.150178	0.586682	0.24748
7.09802	3.04023	8.6982	-1.2347	0.483057	1.8736
2.68644	9.41165	9.36273	0.364749	-0.905304	-0.780004
8.7638	3.1134	7.18699	-0.805249	0.233807	1.07869
10.9289	0.914655	6.73231	2.10201	-0.230452	0.63093
12.2183	12.3625	7.46585	-0.26042	-0.401212	0.480157
3.69877	8.82932	0.941434	0.635765	-1.18924	1.52762
2.99218	2.61374	0.597657	0.643599	0.202886	-1.37645
1.24444	2.13995	2.31298	0.16101	0.107536	-1.04734
11.7936	6.1646	0.958538	-0.270525	-1.72215	-1.63421
8.22624	10.0441	7.33823	-0.886779	-0.986899	-0.678009
7.88171	8.29925	1.89673	-1.06124	1.27238	-1.99954
5.35273	9.66768	0.294465	-1.60143	1.1748	-2.61041
2.24104	0.283721	1.88463	0.43404	-0.569959	-0.00997509
7.05041	9.98809	2.05459	1.21717	1.27689	-0.295522
5.06386	7.52694	2.35981	0.881282	0.926907	-0.404812
10.468	12.2027	2.88609	-0.575071	-0.622728	-0.552096
9.59291	0.975392	6.53964	-0.666787	-0.436501	-0.212891
4.40854	1.50726	8.66434	-1.96199	-0.400711	0.0489839
11.6569	5.95651	4.73224	-0.352929	-1.94951	1.59025
2.76397	3.81516	3.84297	0.429758	0.0351524	-1.3483
12.0475	4.8874	7.95302	-0.436393	0.326755	-0.80372
0.33878	4.23832	9.09414	-0.0343159	0.0627739	-0.59292
4.15153	5.29604	9.57028	0.69138	0.0643974	-0.919671
2.72632	0.779933	3.37765	0.481613	-0.707359	0.0582248
3.33858	1.21796	2.62403	0.603015	-0.720087	2.1472
11.6387	7.05253	7.28644	-0.476666	0.553622	0.255771
6.2364	1.97379	7.66143	-1.48415	-0.378584	-0.0080088
12.1264	7.14289	11.0918	-0.215749	0.565281	0.651203
1.9465	8.63177	12.4532	0.129062	0.889852	0.733614
3.0004	2.86777	11.9929	0.580291	-0.225365	0.323161
9.88116	12.151	2.31334	-0.620218	1.60055	0.475068
0.260843	4.83386	9.83675	-0.0519515	-0.0360262	-0.545085
1.76548	0.241497	7.77579	0.25976	1.3518	-1.33704
0.608971	8.86306	8.54214	0.0387676	-1.79831	-1.42231
4.50515	9.31836	9.1287	0.769424	0.676132	-1.52562
1.67893	10.4797	2.65658	0.189314	-1.62407	-0.54208
3.62162	4.33997	7.25104	0.678148	2.25873	0.0711099
3.14324	1.35849	0.275694	0.47087	1.74401	0.906929
1.1066	0.86683	11.253	0.0922233	-1.07251	0.483916
0.327605	4.75534	1.39143	0.0260965	-0.194806	0.620953
4.43693	5.95635	10.5193	0.798748	0.112463	-0.204607
10.4927	4.90197	11.026	-0.561769	-0.327153	-0.502821
1.26279	7.95344	7.11816	0.111641	0.273546	1.08928
12.1777	5.65093	0.667732	-0.173118	-0.227745	-0.510628
2.71101	3.00248	5.0654	0.547582	-0.807126	-2.33725
5.03467	1.70246	4.9697	0.986621	-0.948043	-0.125649
8.49262	3.26145	9.52856	1.60066	-0.725906	0.524222
11.1189	12.5354	11.1703	-0.419792	1.17756	0.542271
6.20057	1.00692	11.4431	1.15146	-1.13756	0.442133
11.1417	4.63476	6.7458	-0.548814	-0.420412	-0.970432
6.87581	10.2835	9.51412	-1.126	-1.75974	-0.457428
12.1001	2.00603	10.3598	-0.162364	1.2805	-0.535334
3.82138	0.0564919	10.7239	-1.79549	3.45388	-0.774523
12.5757	8.00418	2.59861	-0.0604381	-0.092039	-0.207744
2.32462	10.989	8.62578	0.432922	-2.0336	0.765179
12.5387	4.40519	8.06746	-0.242905	1.72801	0.402724
2.41874	5.86255	9.86707	0.298336	-0.502394	-1.88168
9.38744	4.83133	5.05569	-0.863384	1.86123	1.89694
3.85974	1.20247	3.35614	0.623484	1.18903	1.28288
2.51667	4.59761	8.82416	0.374522	-0.766395	-0.304729
3.2968	9.86194	11.6168	-2.00009	0.326152	0.00228086
1.69955	2.48402	11.2679	0.304894	-1.26358	-0.286003
9.4482	8.7659	5.50775	-0.73945	-0.131681	0.814062
2.59275	3.57498	0.955942	0.407497	-1.14175	-0.495821
5.96357	0.724019	8.54546	-1.47047	-1.76771	-1.64442
2.68156	12.5287	12.0711	0.299435	0.628217	-1.20863
4.40025	2.71704	3.57442	0.721918	1.23002	-0.714801
3.59887	0.0682621	5.02873	0.58829	-1.82422	-0.591351
