# Created on: Sun Feb 25 09:56:09 2018
# X	Y	Z	Vx	Vy	Vz
1.1372	1.66813	1.60793	0.798325	1.99893	2.00111
12.3817	0.680154	1.8908	-1.72209	0.186894	0.0339055
1.04844	0.708527	2.42175	0.859042	0.185363	-1.51435
0.932075	12.5682	4.04772	0.190624	-1.45319	-0.87775
0.802364	0.294772	5.52882	0.116913	-0.780586	0.114615
0.562678	0.309505	6.55165	-0.174898	-0.75163	-0.71951
12.4219	1.60881	7.70062	-1.76645	2.0146	-1.03971
1.81514	0.0772423	8.51663	2.36413	-1.2088	-1.96223
0.528926	0.84035	10.752	-0.166304	0.311693	0.119613
12.5571	0.894691	0.350947	-1.53862	0.535768	2.13368
0.801371	1.3807	0.1708	0.300596	-0.915593	-0.984775
0.152207	2.02059	2.40242	-0.986439	0.175437	1.07148
1.60524	1.73194	3.66435	1.99414	-0.424019	1.22117
0.556198	1.67507	4.77819	-0.157129	-0.43913	0.860443
0.921623	1.23167	6.38971	0.693026	-1.63492	1.30786
0.812186	2.00273	6.37221	0.373001	0.536528	-1.03692
0.642978	1.9484	7.52765	-0.0323342	0.206778	-1.47946
0.493047	1.03869	8.52478	-0.221044	-1.87362	-1.84198
0.152732	1.41775	10.3113	-0.925789	-1.08835	-1.13818
0.101821	2.5976	10.985	-0.929675	1.74568	-1.89793
12.4014	3.82851	11.9211	-1.86167	1.4084	-2.65954
0.789395	2.8503	1.82285	0.324817	-0.546613	-0.200918
1.32176	3.81106	3.01147	1.52442	1.14763	-0.513815
1.11302	3.54303	4.21462	0.971499	0.776225	-0.310568
0.394238	2.77588	5.41379	-0.3179	-0.749579	-0.570966
0.248986	2.95185	6.93852	-0.602577	-0.474149	-0.0252354
12.4149	3.03431	8.17905	-1.33203	-0.227662	-0.0612918
0.431842	2.07992	10.176	-0.417626	-2.21741	1.32887
0.864055	3.29828	10.0439	0.455613	0.388449	-1.30129
0.568637	3.38727	11.5189	-0.055552	0.513809	-1.02639
0.604165	4.39962	0.13681	-0.0582748	-0.154816	-0.928412
0.913039	4.53121	1.30376	0.459965	0.180731	-1.32054
0.835631	4.09443	3.25777	0.124768	-0.38334	0.398807
0.883199	4.11403	5.48543	0.570762	-0.836178	2.09028
0.465566	4.62232	5.92277	-0.527048	0.347744	0.925807
12.5466	4.08849	7.04685	-1.27761	-0.501076	0.223441
0.541501	4.66613	8.50217	-0.147683	0.505106	0.613372
0.780557	4.75617	9.74635	0.341479	0.357529	0.643376
0.842686	4.25905	10.8472	0.477441	-0.394368	0.336271
0.242293	5.1735	12.2416	-0.917775	1.41714	0.456719
