# Created on: Sun Feb 25 09:56:09 2018
# X	Y	Z	Vx	Vy	Vz
1.13542	1.68685	1.54814	1.01141	2.11638	1.84303
12.3968	0.668873	1.88717	-1.67457	0.0812213	-0.00615565
1.04512	0.697717	2.44267	0.830861	0.139422	-1.42206
1.00864	12.5585	4.13132	0.740509	-1.35136	-0.561693
0.827566	0.286795	5.45961	0.387719	-0.688824	-0.416213
0.561169	0.33772	6.55851	-0.141955	-0.59174	-0.741765
12.4585	1.61522	7.72825	-1.55079	1.97466	-0.928988
1.8002	0.122287	8.55318	2.34385	-1.02785	-1.80105
0.533086	0.863545	10.7506	-0.1891	0.464355	0.080097
0.00440294	0.88179	0.294803	-1.26446	0.507927	1.86507
0.822657	1.33312	0.221426	0.380568	-1.11243	-0.82151
0.163444	2.03397	2.38526	-0.938492	0.284323	0.995075
1.64748	1.77542	3.56218	2.04821	-0.229827	0.82953
0.552003	1.67958	4.73947	-0.158684	-0.419328	0.667418
0.892549	1.30961	6.44736	0.531782	-1.16808	1.55868
0.813375	1.94768	6.32946	0.372381	0.120895	-1.20915
0.65979	1.90541	7.57314	0.0580304	0.0331798	-1.24239
0.500689	1.08462	8.53223	-0.257797	-1.62484	-1.83443
0.105119	1.4459	10.4108	-1.04559	-0.89649	-0.612692
0.0732603	2.52713	10.965	-1.10984	1.28977	-2.00644
12.4531	3.82297	11.9412	-1.56391	1.34572	-2.58352
0.783203	2.84308	1.8431	0.309075	-0.609704	-0.0999129
1.31191	3.85063	3.05408	1.36629	1.40514	-0.199978
1.09052	3.54643	4.20779	0.917257	0.793513	-0.398359
0.370876	2.78864	5.42985	-0.513744	-0.724709	-0.485236
0.214125	2.96576	6.94672	-0.822997	-0.368922	0.0311136
12.386	3.02865	8.17195	-1.67867	-0.24133	-0.0276631
0.456105	2.13978	10.208	-0.347557	-2.02515	1.51327
0.846738	3.26052	10.0289	0.434015	0.227141	-1.36611
0.567936	3.36354	11.5726	-0.122763	0.430194	-0.796789
0.606102	4.4189	0.12074	-0.049014	0.00480979	-1.01748
0.95163	4.54028	1.34535	0.640879	0.255553	-1.09436
0.877056	4.04388	3.22382	0.482182	-0.727423	0.153058
0.880304	4.14287	5.49303	0.499638	-0.540262	2.1722
0.499492	4.66154	5.82592	-0.266012	0.507503	0.324368
12.5405	4.07004	7.04269	-1.36824	-0.672477	0.224799
0.532356	4.66131	8.50037	-0.192679	0.50226	0.620075
0.781785	4.8158	9.73637	0.304252	0.805697	0.572916
0.832145	4.28018	10.8253	0.407961	-0.270746	0.233906
0.282555	5.18772	12.2675	-0.701786	1.54941	0.596464
0.574602	5.56143	0.24526	-0.109282	-0.212436	-0.765326
0.699414	6.3938	1.21207	0.144145	1.46065	-1.35588
0.624769	4.69454	2.42922	-0.0174352	-1.95266	-1.44305
1.02818	6.05928	3.59322	0.794307	0.769834	-1.634
0.755581	4.8896	5.36036	0.251985	-1.55211	-0.626089
0.971363	6.80215	6.95248	0.671148	2.26747	0.0449868
0.873048	6.49763	8.67697	0.479228	1.66488	0.976308
0.683718	5.23463	9.62855	0.102311	-0.870699	0.356168
0.582051	5.55738	11.0445	-0.0908803	-0.222968	0.664241
0.940549	5.64128	11.7864	0.632544	-0.0482821	-0.364063
0.358754	6.6825	0.426879	-0.534742	-0.481392	-0.408663
0.693209	7.06929	2.38036	0.123344	0.280536	0.972536
0.532724	6.82525	2.89578	-0.202615	-0.214737	-0.508456
0.789892	6.56241	3.20229	0.3178	-0.741181	-2.4171
1.03482	6.39011	5.63427	0.804633	-1.09279	-0.0772978
1.40686	6.52164	7.18229	1.55823	-0.817855	0.513881
0.418949	7.46913	8.51765	-0.416896	1.0905	0.658174
1.13917	6.31068	9.64606	1.02529	-1.23876	0.394928
0.460169	6.6614	10.3775	-0.344444	-0.5317	-0.670802
12.5734	6.00769	11.7635	-1.3089	-1.84075	-0.410361
0.507518	8.84253	0.318082	-0.243029	1.3072	-0.626381
12.2766	9.88293	1.50003	-1.90779	3.40512	-0.799423
0.549733	8.20462	3.11498	-0.158893	0.0199098	-0.069044
0.793957	7.22708	4.85662	0.321725	-1.93492	0.899257
0.570401	9.12202	5.86721	-0.130779	1.86484	0.393438
0.822913	7.98205	5.96126	0.376704	-0.418042	-1.94441
0.28576	9.10314	9.12686	-0.693163	1.82943	1.86887
0.940477	8.7445	10.0551	0.629683	1.11542	1.22615
0.81933	7.833	10.4954	0.378724	-0.719484	-0.418383
12.2074	8.3572	11.9573	-2.03934	0.335616	-0.0159878
0.68548	8.69798	0.421482	0.117746	-1.50442	-0.416355
0.261136	9.33161	2.25891	-0.724506	-0.231806	0.735674
0.797258	8.87105	2.95988	0.343849	-1.15152	-0.381637
12.5357	8.60327	3.52601	-1.38873	-1.69686	-1.75854
0.873224	9.76564	5.10391	0.48691	0.624489	-1.14843
0.999334	10.0337	6.56748	0.738576	1.17007	-0.719535
0.936362	8.5091	7.8687	0.605763	-1.89184	-0.648445
0.50456	9.39135	9.56417	-0.244333	-0.10301	0.237618
0.127294	9.25018	10.8863	-1.0028	-0.391514	0.356809
1.53355	9.94501	11.8783	1.80519	0.979698	-0.179892
0.932468	10.8917	1.04358	0.60243	0.352537	0.822525
0.468853	10.9285	2.27504	-0.326125	0.420888	0.77334
1.21048	10.832	3.43628	1.1695	0.239696	0.587495
0.417263	10.5556	5.24261	-0.427098	-0.310615	1.65028
0.289226	10.3692	5.35728	-0.686782	-0.692697	-0.632419
0.716915	9.94973	6.59805	0.169547	-1.52513	-0.655154
0.104208	9.96032	8.11826	-1.0539	-1.50419	-0.14423
1.58048	10.3724	9.2155	1.89741	-0.671468	-0.475728
0.719049	11.1875	11.3912	0.179099	0.958264	1.36068
0.503879	10.7691	12.0344	-0.261127	0.114445	0.138896
0.865408	11.6943	0.625955	0.470426	-0.545028	-0.0159954
0.75645	11.9363	1.95937	0.249852	-0.0479785	0.129068
1.04354	11.9157	2.54251	0.831547	-0.101185	-1.20543
0.960668	0.659619	5.39532	0.6566	2.59044	1.98064
0.782289	11.059	5.42809	0.310915	-1.81451	-0.490069
1.04139	11.2709	7.19206	0.827413	-1.40262	0.535838
0.452983	12.5544	8.12986	-0.349521	1.17625	-0.117754
12.3243	11.253	9.26204	-1.80858	-1.44214	-0.366167
0.191814	12.1157	10.96	-0.876195	0.289852	0.492412
12.5664	12.471	12.1168	-1.32641	1.00609	0.307574
1.85017	0.0987691	0.10701	-0.0747291	-1.0619	-1.05013
2.28027	0.352232	2.79289	0.780874	-0.553595	1.80422
1.66236	12.3199	3.77776	-0.453569	-1.82817	1.25985
1.38699	0.432535	4.18476	-1.00805	-0.385347	-0.449372
2.22215	12.3539	4.93283	0.676478	-1.76087	-1.47796
1.97198	12.206	7.15935	0.170863	-2.05201	0.463912
1.96848	1.77436	8.42497	0.164846	2.29087	0.471028
2.13662	0.831372	10.0249	0.48924	0.407556	1.15361
1.51153	0.0452539	10.6624	-0.755995	-1.17519	-0.0858989
0.827986	1.08583	11.9709	-2.12744	0.915093	0.00149241
1.72352	1.74622	0.836456	-0.326623	-0.285923	0.41265
1.46999	1.69591	1.74115	-0.831239	-0.391658	-0.294936
0.848721	2.20511	2.75149	-2.08448	0.635248	-0.79893
1.59746	1.58771	4.55536	-0.588268	-0.599929	0.291975
2.30717	1.46394	5.07917	0.833257	-0.855877	-1.17674
1.45603	2.35663	8.04004	-0.864042	0.943418	2.22214
1.38414	2.12976	7.95214	-1.01109	0.483682	-0.475815
1.34957	1.69585	9.44221	-1.08621	-0.386784	-0.0127507
1.91988	2.3932	10.3075	0.0622388	1.01565	-0.802794
1.7347	1.8926	12.3656	-0.308116	0.00146685	0.793202
1.85292	3.61607	1.27306	-0.0690447	0.935387	1.28978
1.71166	2.9012	1.74747	-0.346259	-0.499155	-0.284029
1.77978	3.29243	3.49401	-0.213823	0.27534	0.682872
2.25027	3.87285	3.86432	0.732033	1.45401	-1.09324
1.85797	3.40117	5.85223	-0.0719047	0.496726	0.362942
2.30152	2.87969	6.90051	0.825833	-0.551175	-0.0549865
1.70708	3.34243	8.21601	-0.366325	0.396874	0.0527141
1.45586	3.38331	9.35421	-0.867969	0.465363	-0.193896
2.04708	2.71343	12.1553	0.323718	-0.875071	2.89754
1.44739	2.8684	12.2149	-0.892783	-0.561992	0.499465
1.65804	4.12811	0.0769404	-0.459862	-0.575248	-1.11142
1.17167	4.70868	2.27854	-1.43311	0.602004	0.78267
2.33715	4.64688	3.45176	0.906592	0.48174	0.602664
1.67257	4.29439	4.50702	-0.437565	-0.221154	0.198946
2.13141	4.43511	6.02029	0.478247	0.0546675	0.700292
2.59966	3.97791	6.72454	1.42189	-0.865697	-0.405171
2.74198	4.84279	8.25845	1.70769	0.856209	0.144455
1.51208	3.64594	9.51304	-0.751232	-1.52824	0.127818
2.47482	4.36665	11.1483	1.17756	-0.0980714	0.882623
2.17936	5.3671	12.4269	0.591745	1.9185	0.919834
1.27506	5.55732	1.00076	-1.23109	-0.217058	0.749777
1.86015	5.06366	0.92865	-0.0492736	-1.21787	-1.92154
2.34478	5.531	3.00113	0.912796	-0.27731	-0.303796
1.83226	6.41229	3.92569	-0.110039	1.49062	-0.969503
2.43904	5.13715	4.85493	1.0993	-1.06134	-1.64068
1.98113	5.46023	6.89612	0.171604	-0.424094	-0.071687
1.75244	5.68861	7.97449	-0.285007	0.0331599	-0.438246
1.41716	5.45787	8.80975	-0.946418	-0.431922	-1.27386
2.14292	4.81648	11.0981	0.514393	-1.71368	0.771615
1.59258	5.32077	11.6197	-0.587873	-0.69694	-0.702893
2.54103	5.72538	12.5556	1.30826	-2.41165	-1.35623
1.9448	7.68001	2.36924	0.117775	1.50882	0.951571
2.18312	6.95543	2.41812	0.594295	0.0409141	-1.46553
1.80558	7.02237	4.88469	-0.16306	0.183516	0.951137
1.82541	7.27754	6.05092	-0.125703	0.696444	0.758035
1.51301	7.41136	6.46352	-0.756079	0.971592	-0.926715
2.00128	6.2024	8.37639	0.233426	-1.4383	0.38131
2.22952	7.91481	9.68017	0.684564	1.97232	0.45331
1.8953	6.05164	10.9493	0.0153707	-1.76364	0.479028
2.63003	7.17396	11.1363	1.48687	0.49204	-1.66511
1.63231	8.47932	0.158861	-0.518895	0.579487	-0.944988
1.23009	7.44947	2.42853	-1.32943	-1.4811	1.06911
1.67149	8.591	2.70955	-0.43386	0.806335	-0.886763
1.47187	8.2612	4.12277	-0.841782	0.136135	-0.577045
2.19585	8.5572	5.13891	0.616899	0.726285	-1.06638
1.8549	8.93818	7.05616	-0.0823232	1.49265	0.25612
