# Created on: Sun Feb 25 09:55:55 2018
# T	K	U	Etot	Pc	Pk	Ptot
0.696759	1.04514	0.268557	1.3137	0.181805	0.34838	0.530185
0.999976	1.49996	0.268587	1.76855	0.181824	0.499988	0.681812
0.999948	1.49992	0.268643	1.76857	0.181839	0.499974	0.681813
0.999921	1.49988	0.268741	1.76862	0.181864	0.49996	0.681825
0.999893	1.49984	0.26888	1.76872	0.1819	0.499947	0.681847
0.999865	1.4998	0.269062	1.76886	0.181947	0.499933	0.68188
0.999838	1.49976	0.269285	1.76904	0.182005	0.499919	0.681924
0.99981	1.49972	0.26955	1.76927	0.182074	0.499905	0.681979
0.999783	1.49967	0.269858	1.76953	0.182155	0.499891	0.682046
0.999756	1.49963	0.270207	1.76984	0.182246	0.499878	0.682124
0.999728	1.49959	0.270597	1.77019	0.182348	0.499864	0.682213
0.999701	1.49955	0.27103	1.77058	0.182462	0.499851	0.682313
0.999674	1.49951	0.271504	1.77102	0.182585	0.499837	0.682423
0.999648	1.49947	0.272018	1.77149	0.182718	0.499824	0.682542
0.999621	1.49943	0.272573	1.772	0.182861	0.499811	0.682672
0.999595	1.49939	0.273167	1.77256	0.183013	0.499797	0.68281
0.999568	1.49935	0.273801	1.77315	0.183173	0.499784	0.682957
0.999542	1.49931	0.274474	1.77379	0.183342	0.499771	0.683113
0.999516	1.49927	0.275185	1.77446	0.183518	0.499758	0.683276
0.999491	1.49924	0.275935	1.77517	0.183703	0.499745	0.683448
0.999466	1.4992	0.276723	1.77592	0.183895	0.499733	0.683627
0.99944	1.49916	0.277549	1.77671	0.184093	0.49972	0.683813
0.999416	1.49912	0.278412	1.77754	0.184298	0.499708	0.684006
0.999391	1.49909	0.279311	1.7784	0.18451	0.499696	0.684205
0.999367	1.49905	0.280247	1.7793	0.184727	0.499684	0.684411
0.999343	1.49901	0.281218	1.78023	0.184951	0.499672	0.684622
0.99932	1.49898	0.282225	1.7812	0.185179	0.49966	0.684839
0.999297	1.49895	0.283266	1.78221	0.185412	0.499648	0.685061
0.999274	1.49891	0.284343	1.78325	0.185651	0.499637	0.685288
0.999252	1.49888	0.285451	1.78433	0.185892	0.499626	0.685518
0.99923	1.49885	0.286593	1.78544	0.186138	0.499615	0.685753
0.999209	1.49881	0.287767	1.78658	0.186388	0.499604	0.685992
0.999188	1.49878	0.288972	1.78775	0.186639	0.499594	0.686233
0.999168	1.49875	0.290207	1.78896	0.186894	0.499584	0.686478
0.999149	1.49872	0.291473	1.7902	0.187151	0.499574	0.686725
0.99913	1.49869	0.292767	1.79146	0.187409	0.499565	0.686974
