# Created on: Wed Jun  6 16:40:15 2018
# X	Y	Z	Vx	Vy	Vz	Fx	Fy	Fz
1.17301	0.626189	15.4882	1.52129	-0.175	-2.663	0.694938	1.39389	-2.0858
14.9808	13.1795	2.07435	-0.461211	1.06	1.03421	-0.976586	0.270521	0.126284
2.70393	17.395	7.2373	-1.11615	2.39063	8.43297	0.972599	-0.242	-2.0878
4.69229	14.6999	1.76608	-1.17821	-0.506423	0.679732	-0.87343	0.484902	-1.59877
1.14758	4.19061	1.35378	1.29639	1.0839	1.08056	-0.0289875	-0.81004	-0.989505
2.02437	5.91309	16.3845	2.32499	-1.95333	-1.66407	1.25362	-0.90813	0.665532
15.1578	11.8922	4.81654	1.91535	-1.78946	3.63334	1.94018	-0.906047	0.397877
10.6081	13.934	14.4402	1.94661	-3.7002	-1.57412	0.146617	0.78331	-1.00866
13.2559	8.67115	13.5518	-2.44494	2.34646	0.844396	0.517967	0.711141	-0.0320322
14.2088	15.7312	7.72535	3.10071	-0.572376	1.52247	0.426702	-0.297415	-1.4011
1.2732	2.38323	13.3186	1.73618	-1.44243	0.638951	0.604327	-0.0810841	-0.527911
3.4327	12.244	12.8702	4.71229	-2.74145	-0.303566	0.110989	0.777611	0.018769
9.8272	4.1732	8.69437	-0.724438	-3.98225	0.330539	0.838645	-0.701185	1.40804
4.53011	14.9919	16.7458	7.47641	2.09948	5.24767	-1.56295	-0.926688	1.45463
13.4883	8.00587	1.32878	2.65207	0.995305	3.5959	1.60634	0.186546	1.30827
3.17596	7.10248	5.91349	0.535865	1.44549	4.54407	0.418511	-0.502026	0.907135
14.2604	10.5153	8.84296	-3.01782	-0.738531	3.66492	1.79074	0.0277927	0.138549
10.6119	6.22711	4.90203	-4.6405	3.39372	-4.93251	0.473063	1.01498	0.597246
1.6659	4.89542	3.73271	0.652451	1.06813	-4.99655	0.618574	0.134976	-0.928753
12.6165	9.18061	10.0674	-1.78837	-3.9448	3.04588	-0.745528	1.5153	2.23007
6.34871	0.964606	13.312	0.831295	1.37776	-2.71088	0.0159059	-0.458232	-1.07406
12.5197	8.04425	2.42567	-5.34333	8.11121	-2.5563	-0.624753	1.47383	1.27963
15.95	0.0714702	9.36806	0.058559	3.04608	1.80499	0.138997	-0.25948	0.508359
12.7331	14.504	8.43758	5.05865	-0.416735	-0.836082	1.14275	0.0946983	-0.977826
15.6918	14.7339	4.52561	0.0231006	-2.56398	4.53814	-0.36406	1.15858	0.812072
2.38526	17.2156	1.8607	2.29748	3.84382	2.66401	-0.92493	-1.16098	0.389935
8.64294	5.40008	5.26768	-1.71756	-5.91375	-2.10387	-1.7092	0.854061	0.00159224
16.5473	15.2135	17.1591	-6.66417	-2.83156	-2.14793	-1.64438	0.863683	0.998227
1.37569	16.6532	11.9209	1.38629	-2.01669	-3.89076	-0.0995616	-0.4329	-0.162913
2.26889	8.89363	7.00141	-1.09156	6.894	1.28504	-0.825341	-0.980832	-0.561047
14.2841	6.06662	3.94427	-7.84911	1.78026	-0.485125	-0.106014	1.02357	0.367082
12.0113	16.4757	1.91264	-4.40112	0.910388	-3.12704	-0.683132	-0.0565342	-0.0320585
15.185	0.936572	5.06182	-2.59547	3.64496	-4.99762	1.33347	-0.964822	-0.113722
9.88737	2.27267	13.3876	0.919655	0.409436	-2.03844	-0.911206	-0.480283	1.84553
8.59126	0.459063	6.60751	-8.39944	3.48392	3.48127	0.316713	0.620963	1.51886
14.5822	12.595	6.05553	-1.38542	0.260098	-6.30307	0.553142	-0.350358	1.00572
2.50744	0.261945	0.453389	-1.17106	1.23565	-0.729551	-0.252612	-2.06129	-0.70193
5.24518	1.33459	8.00167	-1.50135	2.10787	5.08857	1.23952	-1.229	0.518193
9.9168	16.2015	16.1425	1.41892	0.508728	-6.77604	-0.0654721	0.244584	-1.67875
3.52807	17.4842	11.7495	0.160443	7.09507	6.16499	0.477479	-1.77508	-0.0070395
12.4597	0.335218	12.3927	-2.8739	-0.243973	-0.429614	1.94629	-0.0646604	-0.529027
17.5802	12.9866	8.51837	1.34401	3.6161	5.00811	-0.579364	0.406794	-1.47041
9.50041	11.2291	12.9973	0.747947	0.499103	3.27647	-0.113678	0.468338	0.748101
11.1865	3.43642	5.42309	-11.5692	-8.68698	2.08343	0.292087	-0.604782	-0.2299
4.86688	4.40308	14.733	0.243353	1.7418	-3.15054	-0.483275	-0.763404	-0.847306
15.6716	3.21024	3.45367	6.16731	-4.05294	2.81404	-0.676487	0.714361	-2.02161
16.3338	10.0971	1.77198	-1.11325	0.749241	1.27874	-0.00590862	1.45277	1.02532
4.54876	10.7249	2.80245	-1.01193	1.77466	-0.162206	1.1555	0.233879	-0.882145
14.6746	6.05457	1.63858	-4.20677	5.94732	-5.98775	1.14519	0.27149	0.353124
2.93774	17.0089	12.9405	-3.49874	-6.47418	-3.3572	0.976857	-0.538376	-0.522184
7.17516	13.795	16.3566	-2.70905	-2.50045	6.31756	1.70944	0.0800446	-0.319656
2.58556	2.4638	5.50232	-0.663265	2.60106	1.94427	1.15987	-0.350232	0.656659
9.82706	15.6747	12.9193	-4.99088	4.53558	-1.19473	-0.323059	0.395235	0.436944
5.47928	10.3874	10.8771	-2.71493	2.1788	0.249543	1.64555	0.205117	0.597836
10.6844	17.5101	12.1163	1.17726	-4.65277	1.3078	0.249218	-1.64653	-0.444467
0.66468	6.24742	12.0875	-2.90949	0.0623891	-3.12739	-1.80376	-0.291571	0.677359
12.567	3.3305	8.27582	0.128446	-3.27093	1.87798	0.767647	-0.74336	-0.264289
16.8123	2.28942	8.53358	-3.19186	-0.0509345	2.85181	1.27924	1.16492	0.538508
8.60062	16.4015	10.4443	4.21814	0.598298	-5.219	-1.17695	0.239401	0.149726
17.062	1.05763	1.87243	5.61824	1.74761	7.3184	0.179544	-0.0117186	-0.128774
16.813	2.31158	2.57287	2.90154	0.851483	0.900993	0.264924	0.780163	-0.960495
3.81548	8.22229	1.74527	1.27351	-1.30814	1.86215	-1.73444	-0.101142	-2.17392
14.2911	10.0022	8.80464	-4.09452	0.40135	-2.47622	1.81079	-1.80874	0.036269
9.84004	5.8966	4.73095	-4.19384	1.62648	-3.30707	-0.600488	1.96464	-0.522562
3.00995	0.494302	12.7628	-1.3612	-3.22613	-2.03559	1.2107	-1.19686	1.03006
13.2116	13.0252	0.206186	-0.0656434	-1.21712	0.324946	-0.625017	-0.412519	-0.937134
8.08841	3.02514	8.23604	-3.41575	3.87552	-2.25244	0.189635	-0.811209	0.505298
16.6507	14.5159	3.80473	-4.15631	-1.20883	4.36521	0.891082	-0.488386	-1.14403
13.0684	7.66437	16.6964	-0.151344	-0.450167	-3.01691	-0.197852	-0.561773	-1.1037
16.1434	7.18523	14.4232	-0.797904	-0.458988	-2.59586	-0.512693	-1.38998	0.109606
9.39241	4.22932	7.32483	1.51194	0.379211	-0.574319	0.712156	0.369784	-0.672973
15.8382	6.68762	13.1284	-2.1815	-4.62137	0.134894	-0.657675	0.425978	-0.841262
4.92622	3.30282	12.596	-1.96653	1.29563	1.77223	-0.884043	-0.208673	-0.66665
16.4168	11.346	3.46139	3.18881	-2.48256	3.05072	-1.91701	0.986678	-1.45054
13.422	15.8078	3.12835	2.27848	-1.59317	1.69214	0.510996	-1.69661	0.0684464
10.6725	3.43983	16.788	-3.68436	-2.12454	-5.85964	0.874653	-1.60346	-0.790301
10.3989	1.86903	12.3484	7.71325	-4.68625	-4.125	0.00181431	0.293564	-1.00299
4.89503	1.51211	0.48922	1.26908	0.622852	4.54613	0.377638	-0.989102	-0.50776
3.68689	3.92404	1.36213	2.02791	7.7891	5.73073	-0.269729	-0.534304	1.15269
6.85294	13.3948	17.61	1.13249	-0.770317	-5.40864	-1.34612	-0.196967	1.66146
9.20282	16.8554	0.273916	0.498965	0.881744	2.89749	0.174272	-0.152154	1.9596
5.58795	2.01669	10.3636	0.334292	-0.397992	0.0189147	-0.320133	1.20737	0.106586
4.37675	4.56866	14.1254	1.35708	-0.411924	-1.89238	-0.117542	-0.0560241	-1.20215
3.44143	3.11149	10.2915	-0.456235	-1.58877	-3.3372	-0.125855	0.0447891	0.356016
12.9101	11.2795	0.00384418	1.53416	6.5657	1.60101	-0.206536	0.0380917	-1.08093
13.066	12.0245	8.67715	-0.350614	8.86097	2.72471	-0.194336	1.98288	0.401073
4.24064	8.97375	5.89635	-5.97874	2.06674	-2.88638	0.0942165	0.976077	1.17118
9.27323	4.0075	8.19641	2.3804	-0.472086	-0.934396	0.0187575	-0.233581	0.984584
7.90584	10.2875	16.7797	0.847394	5.37375	-3.75707	-0.973064	0.404094	-0.467932
16.9656	0.93167	12.3339	-2.38281	-1.52893	-1.61568	-0.978856	-2.52132	0.326322
5.55551	13.6816	8.76808	1.94109	1.22055	2.15952	0.294926	0.915921	-1.45606
16.3495	3.21636	3.65405	3.1463	-3.78741	-0.622355	1.50905	1.01186	-0.874422
1.5747	13.998	9.03188	0.929421	4.63993	-2.46363	-1.35108	0.424148	-0.0554261
17.184	6.28414	5.11039	-1.37253	4.44101	-5.62224	-0.271883	0.369244	0.41492
15.0455	12.4476	9.99056	0.600751	0.0925346	0.623919	-0.0653703	1.11775	-0.204157
6.46284	11.1106	9.70743	1.36948	2.28534	-4.46266	-0.0478365	0.115319	0.248619
6.86256	14.7065	11.7505	1.99214	-3.06248	-1.34904	-1.21242	-0.649392	1.63651
8.92913	7.25613	14.0567	-0.17068	-1.24329	2.90332	1.22775	0.29111	-0.880318
2.50191	12.7916	9.36441	0.0480163	3.85553	1.85556	-1.45296	-0.284082	0.541082
11.0714	13.5785	10.2038	-6.53679	0.2035	1.86078	0.240311	-0.163151	-0.452151
2.6566	16.2968	4.84354	2.25953	-1.68714	4.77459	-0.0603177	1.48794	1.38438
2.82056	1.36848	13.0665	-6.26031	-2.39493	1.02992	0.883098	2.58033	0.417277
16.5889	12.7756	1.94752	-0.206531	-3.95552	2.6545	1.11073	-0.0206499	0.128515
16.6978	15.5253	13.5465	-2.13881	-0.0837931	4.13027	1.171	0.938131	-0.982684
3.45958	4.01405	2.30682	-1.58602	-0.606541	-0.496045	-0.5649	-0.0659778	2.11815
13.4865	7.72056	4.60128	1.90568	4.9126	-1.51267	0.64482	-0.193364	-1.47783
15.7304	8.62641	0.749876	4.24977	-4.1052	1.6813	-0.172011	1.14147	1.70714
5.33417	16.0577	4.39566	-1.37236	-5.17453	-3.00379	0.754816	-0.932904	-0.967369
14.0367	11.3883	12.9208	-1.76031	-4.88494	6.81071	-0.730463	1.10372	-0.949875
1.2659	17.625	9.23328	0.198028	-4.61383	0.231336	-0.668692	1.06106	-0.967128
5.44102	15.2484	11.0259	0.0798835	4.81967	-5.48078	0.0815565	0.32166	0.638574
11.7056	13.7539	2.54309	0.747801	2.31142	3.25563	1.27464	0.178098	0.32203
10.0914	4.76181	8.95422	-1.46227	2.21627	-2.47712	0.307974	-0.173012	0.75196
12.4742	14.5086	11.4518	2.10399	-0.474012	-1.3563	0.152343	0.864114	0.772879
14.1487	14.943	11.2905	-4.56905	1.13667	2.27988	-0.681761	-0.857859	1.79519
