# Created on: Wed Jun  6 16:28:41 2018
# X	Y	Z	Vx	Vy	Vz	Fx	Fy	Fz
14.0322	3.14335	8.54439	2.18403	-1.8978	4.6511	-0.80251	0.525455	0.00528372
3.9935	7.20063	7.43922	3.99549	-2.26267	2.2977	1.21023	0.677673	0.977143
8.95997	9.25692	3.46568	-8.30128	4.44307	-1.09828	0.968243	-0.499391	-0.464044
8.95151	3.18708	9.79616	-4.1074	-0.0731141	-2.28707	-1.04934	-0.642085	-0.42702
13.6957	2.48095	9.92822	5.2222	-3.49642	0.735841	-0.0983745	1.37046	-0.308261
9.25843	7.38906	8.7277	4.69313	-2.06791	-6.16481	0.821787	-0.0301659	0.951778
4.32496	1.84961	14.842	-3.49908	6.89175	-3.72514	-1.51727	1.23146	-1.42364
11.9307	5.02216	0.183094	3.69293	0.965786	5.70812	-0.290132	-0.591906	-0.186194
12.9718	12.2161	2.41136	-3.00647	-2.51429	-2.39934	0.623568	0.174135	-0.266066
6.86734	8.52872	7.12591	-1.42124	-0.181521	-0.630843	-0.540645	-1.11599	0.0295501
6.87803	3.48805	2.3984	-5.17582	1.60872	-9.75528	-0.56828	-2.15912	0.0372039
6.562	3.55539	12.0854	3.2227	-4.14939	-6.00764	-1.33351	-0.0120715	0.673272
0.864596	3.03541	4.64618	7.84282	-2.7088	0.528181	1.33787	0.75118	0.402222
11.0242	1.63076	10.0429	3.87813	-1.89893	-3.27483	-0.00856459	0.770318	1.00242
6.13687	14.0929	2.77092	1.41708	2.66278	-0.706484	0.0927683	-0.0396315	0.640751
1.81609	0.471371	10.0498	0.0298279	5.47687	-4.08861	-0.261913	1.64048	1.57921
14.6649	11.6845	3.81538	0.332811	0.978941	1.26277	0.944288	-0.772633	0.721116
14.1514	10.8976	12.7918	-0.140748	-2.21239	-7.89201	1.20825	-0.681592	-0.743379
8.15779	6.98372	13.9067	-0.564831	-0.516997	-1.28887	-1.11337	0.201902	2.01641
12.8084	0.276135	3.61769	3.75731	1.96673	3.0399	-0.878488	0.297496	0.244282
8.85914	3.64984	14.7479	-6.26533	-0.131968	3.45581	0.734499	-0.886236	-0.829054
7.46071	12.978	1.97879	3.63146	2.76726	2.80106	-1.10292	0.939188	-0.248579
6.97301	3.40736	10.1136	-3.08765	6.70468	-1.63698	0.860179	-0.263246	-0.792463
3.91908	10.4877	4.66353	0.025697	-5.80871	2.54138	-1.42579	-0.838389	-0.928571
4.13865	12.9761	13.1279	2.53406	-5.13623	-3.19701	-0.221203	0.355351	0.872948
6.41086	0.372719	9.74063	-3.56308	-0.658174	2.72026	-0.324674	-1.2475	-0.459962
10.8061	15.0106	1.24332	-4.12758	-2.77131	3.82863	-0.290779	-1.45183	-0.0536922
2.20654	3.42239	14.6496	1.36726	0.395367	0.637945	-1.40288	-1.40204	1.5755
7.62083	11.5058	3.82999	1.15123	5.19471	1.56043	0.639836	0.196847	-0.348587
7.43685	3.39657	12.3335	1.14542	4.66656	-0.697746	1.05214	-0.09862	0.512201
7.43364	0.950733	14.9375	1.41031	-2.39161	-5.63504	0.517245	-0.463616	0.227208
9.72912	7.57644	12.4692	1.38435	-2.06699	3.24945	1.60078	0.954034	0.0656403
0.0361378	12.7508	8.60033	0.881944	-1.76922	-1.36898	1.24048	-0.566108	-0.726189
14.6841	9.14538	13.9484	1.05036	-5.60647	2.12629	-0.785684	-0.0447921	0.159101
14.8723	6.68146	13.3005	-1.15797	2.03	-0.23166	-2.05067	-1.20945	-0.303181
2.42998	1.91435	11.6402	-0.143041	2.82751	1.24568	-1.34393	0.272459	-0.782728
6.06502	5.04826	2.96946	-3.21763	-3.29652	-1.23819	-2.74436	0.149201	-0.00604267
13.8451	2.72667	12.6782	-4.23373	-8.77254	1.59878	0.606738	0.0767772	0.295836
9.11535	3.23734	3.64211	4.70105	3.69268	-1.43461	0.207942	-0.111356	-0.650128
1.44468	4.52792	7.724	2.2389	-3.08938	2.75694	-1.34782	0.712107	0.322088
9.52272	12.1796	8.29548	-8.61639	-3.03685	5.59259	-0.0450176	-1.63128	0.217936
2.00237	4.34881	8.66434	-0.814	-1.76712	-1.714	-1.48956	0.29486	1.44028
13.2384	14.8814	8.29647	3.24182	3.91593	-1.97195	0.448191	-1.1996	-0.673476
1.98505	5.28391	10.4654	-0.766208	3.26234	-2.1406	0.697209	0.384331	-0.910821
2.20477	8.2131	8.69671	-0.399735	-5.15934	2.19046	-0.0794682	1.43992	-0.374124
11.2805	6.21935	6.81634	1.71097	-0.76407	2.36617	-0.458916	-1.26274	-1.44061
12.8009	5.95832	2.77068	-3.48901	-3.4765	-0.524845	-0.987596	0.889064	-0.374131
5.88345	6.92674	5.50039	4.02153	-1.56944	0.342164	1.4521	0.15289	1.87085
5.60398	2.44754	11.145	1.00377	-4.54489	3.49468	-0.549554	-0.169422	0.336638
1.92849	11.2551	7.93859	2.39228	-4.90588	0.337196	-0.656586	0.159048	0.522541
0.217725	13.4762	13.1104	1.89889	-3.4815	-3.22435	0.443484	0.431986	0.324822
12.3564	7.24601	5.34532	2.3124	-5.26831	0.465422	1.09582	-0.528151	-1.51593
2.90085	10.7636	7.84576	1.24586	0.9536	-5.2408	0.361849	-0.714606	-0.151209
12.9199	1.44111	10.3523	3.13825	0.448425	-1.18909	-0.803085	0.29386	-0.240202
14.5461	2.15346	7.5444	1.06224	1.78649	1.94831	0.967833	-0.262883	0.00914043
15.0611	5.99557	4.80539	-0.33306	-1.54455	-0.202624	-0.372277	-1.35012	2.37893
13.7523	0.216113	0.303184	-2.14343	0.857985	-3.28888	2.46391	-1.77458	0.785886
2.12949	4.76716	7.51967	-2.30221	-1.35802	-1.27004	-0.112095	0.743514	-0.938179
