# Created on: Wed Jun  6 16:21:54 2018
# X	Y	Z	Vx	Vy	Vz	Fx	Fy	Fz
0.892271	6.20727	6.42287	0.910262	-0.901561	-2.5742	0.390986	1.20698	0.157424
1.45811	7.46789	2.48891	1.64998	3.89078	-3.47709	1.03371	1.2558	0.474483
9.4199	1.34479	0.624384	-3.69212	-0.984224	4.09123	0.243596	-0.12203	0.568995
2.73906	1.36522	1.03844	-0.630263	-4.16821	0.734412	-2.16083	0.253387	-0.738961
0.146955	12.1264	7.4034	-1.28536	0.108926	-1.34066	-1.76644	-0.0957542	0.067433
8.62796	8.63317	8.74907	-5.76676	-2.08264	2.15711	-0.687707	0.426159	-0.631209
11.81	7.14496	10.799	4.23379	0.984596	-2.34691	0.279686	-0.566319	-1.10527
1.99847	9.23811	7.3285	3.1488	0.995952	-1.27117	0.0988855	-0.922963	0.415774
1.98596	9.39466	6.07773	3.48324	6.89391	-4.18501	-0.0240123	-1.17941	0.0716671
7.12846	2.95252	0.775951	0.227864	-3.08934	0.942384	1.49795	0.146976	0.0688342
12.0327	8.52426	7.69216	2.65598	-1.35386	4.67527	-0.153013	0.901443	0.629832
8.60684	2.95545	9.88818	-4.95534	4.00478	-2.99791	0.101837	-0.224146	-1.19718
8.32491	10.4347	6.96867	1.73921	-0.315396	0.807181	-0.441571	0.164274	0.763749
2.41345	9.97297	9.41957	10.4039	-0.560018	2.46612	-0.218007	1.19502	0.0613626
5.3083	8.94481	9.54057	2.61204	0.353119	-1.93945	0.99207	-0.245195	1.12728
4.82141	2.62711	1.03608	0.875738	-3.53313	-1.38009	0.503475	0.730061	2.23545
10.326	2.62486	3.59663	-2.82414	4.15508	-2.98099	0.41593	0.0162913	-0.354787
9.33789	9.48664	11.1206	-2.53183	-7.41849	4.06893	0.217514	0.233601	1.20772
9.84335	5.78425	0.919332	-2.01439	1.57919	0.304467	-0.125846	-0.011134	0.558687
6.65294	2.19445	0.537886	1.68336	2.2527	5.2638	0.96582	0.3064	-0.92806
3.41762	1.55675	0.894253	6.10072	3.25144	7.21803	-0.346201	-0.221453	-0.0835791
0.464584	11.8847	0.00165469	2.08558	-4.86497	-4.08815	0.800055	0.299326	-0.946036
4.16201	10.9568	6.03948	-0.284416	-0.443909	-5.55306	0.970339	0.997479	0.607416
3.59811	5.45275	2.11757	-2.19242	4.1059	6.23981	-0.406712	0.184641	1.34925
2.22996	6.4511	9.5673	1.11928	-2.32598	0.736555	0.528791	-0.527615	0.126419
8.4375	0.890482	1.3507	2.41632	-3.69007	-4.08158	0.453227	-0.544277	0.942924
1.10255	5.18144	10.9517	5.74117	-3.82186	6.42489	0.496135	0.684758	-1.19611
4.81492	2.22086	11.1915	0.349123	2.08899	-2.32689	1.23565	1.40791	-0.514092
7.9257	8.8369	2.06004	-3.43284	-3.72979	3.77362	-0.447879	-0.432895	0.013478
10.229	12.1467	5.35058	1.22146	0.162757	-3.8604	0.0133723	-1.2011	0.93914
2.61701	12.4947	8.10729	-1.26845	1.46776	-2.06036	0.59542	1.54225	0.912292
0.998288	10.2766	8.48547	1.29612	0.919396	-4.6397	-1.11964	-1.01223	0.431957
0.320732	0.746655	8.04749	-0.276342	1.83983	-3.97017	0.0771255	-0.236417	-0.201754
8.31358	10.0522	9.49106	-2.32469	-0.16924	2.00108	-0.709491	1.01928	-1.65382
3.10542	11.6262	4.43625	1.0659	-0.0667813	-3.47393	0.522198	1.05299	-0.042055
9.33989	5.19819	3.90854	0.751404	4.91569	1.32705	0.396919	-1.74317	-0.0107887
6.29495	11.5537	7.95151	1.76789	-3.27379	-0.556853	0.448077	-1.95667	0.148855
3.16244	0.89995	0.104041	-3.83498	3.06072	2.81877	0.47585	0.389032	0.139549
9.34002	8.2598	4.63768	-1.53974	2.77168	2.54467	-0.151692	-0.218696	-0.418173
5.39586	9.1676	5.71429	-2.96134	-1.90116	0.608761	0.26763	-1.05593	-0.158874
6.53524	0.348184	4.98655	2.60741	-0.643149	-3.78915	0.460558	1.52871	-0.00102805
6.5473	7.02966	11.2279	0.567971	2.26952	1.3931	-0.798006	-0.846036	-0.326357
4.23011	10.7844	8.78886	-3.62913	-1.17808	5.17108	-0.871196	0.773416	0.784998
6.12293	3.52174	7.7019	2.65085	0.0561311	-3.53419	-1.58458	-0.520934	-0.0381646
0.549276	8.92301	12.2326	3.66114	-1.96172	0.59918	-0.927178	0.342615	-0.84299
2.31539	6.57425	3.94256	8.83224	2.76155	-0.123463	1.42836	0.83375	0.994464
